rd1	rd1_monOrder	rd1Ori	rd2	rd2_monOrder	rd2Ori	insSizeEstimate	insVector
980032459	m33v2,m34v3	R	NA	NaN	NaN	1925	smPlasmid
946918932	m25v1,m26v7,m27v4	R	NA	NaN	NaN	1925	smPlasmid
954357292	m2v4,m3v2	R	NA	NaN	NaN	1925	smPlasmid
949378842	m33v2	R	NA	NaN	NaN	10201	lgPlasmid
947092322	m1v2,m2v4	R	NA	NaN	NaN	1925	smPlasmid
980090030	m29v1,m30v2	R	NA	NaN	NaN	1925	smPlasmid
942565132	m32v4	R	NA	NaN	NaN	10201	lgPlasmid
944171126	m33v2,m34v3	R	NA	NaN	NaN	10201	lgPlasmid
942772596	m6v1,m7v4	F	NA	NaN	NaN	10201	lgPlasmid
980293717	m28v4	R	NA	NaN	NaN	1925	smPlasmid
980767067	m4v4	R	NA	NaN	NaN	1925	smPlasmid
949327534	m34v3,m1v2	R	NA	NaN	NaN	10201	lgPlasmid
944566353	m30v2	R	NA	NaN	NaN	10201	lgPlasmid
978974698	m21v6,m22v3,m23v1	R	NA	NaN	NaN	1925	smPlasmid
948072509	m30v2	F	NA	NaN	NaN	10201	lgPlasmid
978772037	m1v2,m2v4	R	NA	NaN	NaN	1925	smPlasmid
939815874	m22v3,m23v1	F	NA	NaN	NaN	10201	lgPlasmid
979112224	m26v6,m27v4	F	NA	NaN	NaN	1925	smPlasmid
979729020	m29v2	F	NA	NaN	NaN	1925	smPlasmid
943006143	m24v7	F	NA	NaN	NaN	10201	lgPlasmid
948864711	m20v3,m21v6	F	NA	NaN	NaN	10201	lgPlasmid
942870275	m9v4	F	NA	NaN	NaN	10201	lgPlasmid
972349374	m2v4	R	NA	NaN	NaN	1925	smPlasmid
954921152	m1v2	R	NA	NaN	NaN	1925	smPlasmid
978819867	m17v3,m18v2	R	NA	NaN	NaN	1925	smPlasmid
939624726	m31v1	F	NA	NaN	NaN	10201	lgPlasmid
972373704	m28v4	F	NA	NaN	NaN	1925	smPlasmid
948638886	m17v3	F	NA	NaN	NaN	10201	lgPlasmid
979492814	m29v2,m30v2	R	NA	NaN	NaN	1925	smPlasmid
978487498	m28v4,m29v2	R	NA	NaN	NaN	1925	smPlasmid
951573175	m9v4	F	NA	NaN	NaN	1925	smPlasmid
946994302	m33v2	R	NA	NaN	NaN	1925	smPlasmid
941540987	m25v1,m26v7	F	NA	NaN	NaN	10201	lgPlasmid
965978035	m27v4,m28v4	R	NA	NaN	NaN	1925	smPlasmid
948130191	m2v2,m3v2	F	NA	NaN	NaN	10201	lgPlasmid
972004278	m1v2,m2v4	F	NA	NaN	NaN	1925	smPlasmid
980112491	m21v6,m22v2	F	NA	NaN	NaN	1925	smPlasmid
980349755	m29v2,m30v2	R	NA	NaN	NaN	1925	smPlasmid
942388730	m28v4,m29v2	R	NA	NaN	NaN	10201	lgPlasmid
972117194	m3v2	R	NA	NaN	NaN	1925	smPlasmid
949138192	m5v6	F	NA	NaN	NaN	10201	lgPlasmid
965624808	m15v4,m16v1	F	NA	NaN	NaN	1925	smPlasmid
972444723	m20v3,m21v6	R	NA	NaN	NaN	1925	smPlasmid
940312389	m26v7,m27v4,m28v4	F	NA	NaN	NaN	10201	lgPlasmid
980010330	m23v1,m24v7	F	NA	NaN	NaN	1925	smPlasmid
972383784	m9v4,m10v3,m11v6	R	NA	NaN	NaN	1925	smPlasmid
952330655	m26v7,m27v4,m28v4	F	NA	NaN	NaN	1925	smPlasmid
979552397	m16v1,m17v3	R	NA	NaN	NaN	1925	smPlasmid
944599044	m13v3,m14v3	F	NA	NaN	NaN	10201	lgPlasmid
978676690	m26v7,m27v4	R	NA	NaN	NaN	1925	smPlasmid
953542759	m25v1	R	NA	NaN	NaN	1925	smPlasmid
972153151	m34v3,m1v2	F	NA	NaN	NaN	1925	smPlasmid
970267734	m27v4,m28v5	R	NA	NaN	NaN	10201	lgPlasmid
942364657	m26v7,m27v4	R	NA	NaN	NaN	10201	lgPlasmid
944123422	m19v2,m20v3	F	NA	NaN	NaN	10201	lgPlasmid
946913525	m28v4,m29v2	F	NA	NaN	NaN	1925	smPlasmid
972038235	m3v2	F	NA	NaN	NaN	1925	smPlasmid
951667882	m4v4	R	NA	NaN	NaN	1925	smPlasmid
972588215	m34v3,m1v2	F	NA	NaN	NaN	1925	smPlasmid
978508406	m20v3,m21v6	F	NA	NaN	NaN	1925	smPlasmid
966904648	m22v3	F	NA	NaN	NaN	1925	smPlasmid
979187701	m27v4,m28v4	R	NA	NaN	NaN	1925	smPlasmid
943025658	m12v1,m13v3	R	NA	NaN	NaN	10201	lgPlasmid
944183437	m7v4,m8v6	F	NA	NaN	NaN	10201	lgPlasmid
948086715	m32v4,m33v2	R	NA	NaN	NaN	10201	lgPlasmid
978656068	m18v2,m19v1	F	NA	NaN	NaN	1925	smPlasmid
942439410	m12v1	F	NA	NaN	NaN	10201	lgPlasmid
978895107	m30v2,m31v1	F	NA	NaN	NaN	1925	smPlasmid
948723093	m29v6,m30v2	R	NA	NaN	NaN	10201	lgPlasmid
941615506	m9v4	F	NA	NaN	NaN	10201	lgPlasmid
942364014	m7v4,m8v5,m9v4	F	NA	NaN	NaN	10201	lgPlasmid
978810469	m13v3,m14v3	F	NA	NaN	NaN	1925	smPlasmid
943051000	m16v1,m17v3	R	NA	NaN	NaN	10201	lgPlasmid
972496132	m34v3,m1v2	R	NA	NaN	NaN	1925	smPlasmid
947049303	m30v2	F	NA	NaN	NaN	1925	smPlasmid
979391284	m30v2,m31v1	F	NA	NaN	NaN	1925	smPlasmid
942624988	m9v4,m10v3	R	NA	NaN	NaN	10201	lgPlasmid
979817737	m23v1,m24v7	R	NA	NaN	NaN	1925	smPlasmid
980100532	m21v6,m22v2	R	NA	NaN	NaN	1925	smPlasmid
951937759	m26v7	R	NA	NaN	NaN	1925	smPlasmid
941009582	m12v1	R	NA	NaN	NaN	10201	lgPlasmid
953543922	m32v4,m33v2	R	NA	NaN	NaN	1925	smPlasmid
979382054	m10v3,m11v7	F	NA	NaN	NaN	1925	smPlasmid
953190474	m5v6	R	NA	NaN	NaN	1925	smPlasmid
