HLcarCri1	NCBI	GCA_009819825.1	Cariama cristata
HLcasCas1	NCBI	GCA_003342895.1	Casuarius casuarius
HLcasCas2	NCBI	GCA_013396415.1	Casuarius casuarius
HLcatBic1	NCBI	GCA_021437205.1	Catharus bicknelli
HLcatFus1	NCBI	GCA_013398975.1	Catharus fuscescens
HLcatMin1	NCBI	GCA_021437185.1	Catharus minimus
HLcatUst1	NCBI	GCA_009819885.1	Catharus ustulatus
HLcenBen1	NCBI	GCA_013400815.1	Centropus bengalensis
HLcenMin1	NCBI	GCA_005890655.1	Centrocercus minimus
HLcenUni1	NCBI	GCA_013397695.1	Centropus unirufus
HLcenUro1	NCBI	GCF_019232065.1	Centrocercus urophasianus
HLcepGry1	NCBI	GCA_013401065.1	Cepphus grylle
HLcepOrn1	NCBI	GCA_013396775.1	Cephalopterus ornatus
HLcerAme1	NCBI	GCA_018697195.1	Certhia americana
HLcerBra1	NCBI	GCA_013400355.1	Certhia brachydactyla
HLcerCor1	NCBI	GCA_013398595.1	Cercotrichas coryphoeus
HLcerFam1	NCBI	GCA_013398575.1	Certhia familiaris
HLcetCet1	NCBI	GCA_013401135.1	Cettia cetti
HLceuAer1	NCBI	GCA_013398935.1	Ceuthmochares aereus
HLchaAle1	NCBI	GCA_008711295.1	Charadrius alexandrinus
HLchaFre1	NCBI	GCA_013400775.1	Chaetops frenatus
HLchaPap1	NCBI	GCA_013396525.1	Chaetorhynchus papuensis
HLchaTor1	NCBI	GCA_013399475.1	Chauna torquata
HLchiLan1	NCBI	GCA_009829145.1	Chiroxiphia lanceolata
HLchiMin1	NCBI	GCA_013398295.1	Chionis minor
HLchlAen1	NCBI	GCA_013399075.1	Chloroceryle aenea
HLchlHar1	NCBI	GCA_013390065.1	Chloropsis hardwickii
HLchlUndUnd1	NCBI	GCA_003400225.2	Chlamydotis undulata undulata
HLchoAcu1	NCBI	GCA_013399635.1	Chordeiles acutipennis
HLchrMac1	NCBI	GCA_013397655.1	Chroicocephalus maculipennis
HLchrPic1	NCBI	GCA_003413605.1	Chrysolophus pictus
HLchuBur1	NCBI	GCA_013396505.1	Chunga burmeisteri
HLcicMag1	NCBI	GCA_013399255.1	Ciconia maguari
HLcicMag2	NCBI	GCA_017639555.1	Ciconia maguari
HLcicReg1	NCBI	GCA_003713305.1	Cicinnurus regius
HLcinMex1	NCBI	GCA_013399935.1	Cinclus mexicanus
HLcirPec1	NCBI	GCA_013399555.1	Circaetus pectoralis
HLcisJun1	NCBI	GCA_013400215.1	Cisticola juncidis
HLcneLor1	NCBI	GCA_013397755.1	Cnemophilus loriae
HLcocCoc1	NCBI	GCA_013396365.1	Cochlearius cochlearius
HLcolAur1	NCBI	GCA_015227895.1	Colaptes auratus
HLcolJanNit1	NCBI	GCA_014362705.1	Columba janthina nitens
HLcolLiv2	NCBI	GCA_000337935.2	Columba livia
HLcolMon1	NCBI	GCA_013407035.1	Coloeus monedula
HLcolPic1	NCBI	GCA_013397635.1	Columbina picui
HLcolVir2	NCBI	GCA_008692595.1	Colinus virginianus
HLcopSec1	NCBI	GCA_013398635.1	Copsychus sechellarum
HLcorAlt1	NCBI	GCA_003945725.1	Corapipo altera
HLcorCon1	NCBI	GCA_013399495.1	Corythaixoides concolor
HLcorCor3	NCBI	GCA_000738735.2	Corvus cornix cornix
HLcorCorCor4	NCBI	GCA_000738735.4	Corvus cornix cornix
HLcorHaw1	NCBI	GCA_003402825.1	Corvus hawaiiensis
HLcorHaw2	NCBI	GCA_020740725.1	Corvus hawaiiensis
HLcorKub1	NCBI	GCF_017639235.1	Corvus kubaryi
HLcorMac1	NCBI	GCA_014363025.1	Corvus macrorhynchos
HLcorMon1	NCBI	GCA_009650955.1	Corvus moneduloides
HLcotJap2	NCBI	GCA_000511605.2	Coturnix japonica
HLcroMan1	NCBI	GCA_019593555.1	Crossoptilon mantchuricum
HLcroSul1	NCBI	GCA_013397455.1	Crotophaga sulcirostris
HLcryCin1	NCBI	GCA_003342915.1	Crypturellus cinnamomeus
HLcrySou1	NCBI	GCA_013389845.1	Crypturellus soui
HLcryUnd1	NCBI	GCA_013389825.1	Crypturellus undulatus
HLcucCan2	NCBI	GCA_017976375.1	Cuculus canorus
HLcyaCae1	NCBI	GCA_002901205.1	Cyanistes caeruleus
HLcyaRuf1	NCBI	GCA_008694505.1	Cyanoderma ruficeps
HLcygAtr1	NCBI	GCA_013377495.1	Cygnus atratus
HLcygBuc1	NCBI	GCA_019232035.1	Cygnus buccinator
HLcygOlo1	NCBI	GCA_009769625.1	Cygnus olor
HLdapChr1	NCBI	GCA_013397915.1	Daphoenositta chrysoptera
HLdasBro1	NCBI	GCA_013397935.1	Dasyornis broadbenti
HLdicMeg1	NCBI	GCA_013399195.1	Dicrurus megarhynchus
HLdigBru1	NCBI	GCA_019023105.1	Diglossa brunneiventris
HLdipMag1	NCBI	GCA_003713285.1	Diphyllodes magnificus
HLdonAtr1	NCBI	GCA_013397315.1	Donacobius atricapilla
HLdroArd1	NCBI	GCA_013398915.1	Dromas ardeola
HLdroNov1	NCBI	GCA_003342905.1	Dromaius novaehollandiae
HLdroNov2	NCBI	GCA_016128335.1	Dromaius novaehollandiae
HLdryBru1	NCBI	GCA_013400955.1	Drymodes brunneopygia
HLdyaCas1	NCBI	GCA_013397175.1	Dyaphorophyia castanea
HLeclRor1	NCBI	GCA_011763535.1	Eclectus roratus
HLedoCoe1	NCBI	GCA_013397115.1	Edolisoma coerulescens
HLembFuc1	NCBI	GCA_013398835.1	Emberiza fucata
HLentCya1	NCBI	GCA_020137895.1	Entomyzon cyanotis
HLeolRos1	NCBI	GCA_013397615.1	Eolophus roseicapillus
HLeopAus1	NCBI	GCA_003426825.1	Eopsaltria australis
HLeopAus2	DNA Zoo Consortium	none	Eopsaltria australis
HLereAlp1	NCBI	GCA_009792885.1	Eremophila alpestris peregrina
HLeriRub1	NCBI	GCA_903797595.1	Erithacus rubecula
HLerpZan1	NCBI	GCA_013400515.1	Erpornis zantholeuca
HLeryGou1	NCBI	GCA_003676055.1	Erythrura gouldiae
HLeryMcc1	NCBI	GCA_013397435.1	Erythrocercus mccallii
HLeubBou1	NCBI	GCA_013396675.1	Eubucco bourcierii
HLeudAlb1	NCBI	GCA_010080465.1	Eudyptula albosignata
HLeudChr1	NCBI	GCA_010085355.1	Eudyptes chrysocome
HLeudChy1	NCBI	GCA_010084205.1	Eudyptes chrysolophus
HLeudEle1	NCBI	GCA_003342815.1	Eudromia elegans
HLeudFil1	NCBI	GCA_010085365.1	Eudyptes filholi
HLeudMin1	NCBI	GCA_010080355.1	Eudyptula minor
HLeudMos1	NCBI	GCA_010082375.1	Eudyptes moseleyi
HLeudNov1	NCBI	GCA_010078495.1	Eudyptula novaehollandiae
HLeudPac1	NCBI	GCA_010085335.1	Eudyptes pachyrhynchus
HLeudRob1	NCBI	GCA_010085315.1	Eudyptes robustus
HLeudSch1	NCBI	GCA_010080425.1	Eudyptes schlegeli
HLeudScl1	NCBI	GCA_010078445.1	Eudyptes sclateri
HLeulNig1	NCBI	GCA_013397775.1	Eulacestoma nigropectus
HLeupPer1	NCBI	GCA_011317185.1	Eupsittula pertinax
HLeurGul1	NCBI	GCA_013400335.1	Eurystomus gularis
HLfalFro1	NCBI	GCA_013398115.1	Falcunculus frontatus
HLfalNau1	NCBI	GCF_017639655.2	Falco naumanni
HLfalPer2	NCBI	GCA_012488915.1	Falco peregrinus
HLfalRus1	NCBI	GCA_015220075.1	Falco rusticolus
HLforRuf1	NCBI	GCA_013399695.1	Formicarius rufipectus
HLfraArc1	NCBI	GCA_905066775.2	Fratercula arctica
HLfreMag1	NCBI	GCA_013389945.1	Fregata magnificens
HLfriCoeCoe1	NCBI	GCA_015532645.1	Fringilla coelebs coelebs
HLfulAtr1	NCBI	GCA_013372525.1	Fulica atra
HLfurFig1	NCBI	GCA_013397465.1	Furnarius figulus
HLgalDea1	NCBI	GCA_013399015.1	Galbula dea
HLgeoCal1	NCBI	GCA_013389885.1	Geococcyx californianus
HLgeoTri1	NCBI	GCA_009764595.1	Geothlypis trichas
HLglaBra1	NCBI	GCA_013399595.1	Glaucidium brasilianum
HLglaPra1	NCBI	GCA_013401295.1	Glareola pratincola
HLgorGoi1	NCBI	GCA_018403395.1	Gorsachius goisagi
HLgraVar1	NCBI	GCA_013396735.1	Grallaria varia
HLgruAme1	NCBI	GCA_013390085.1	Grus americana
HLgruNig1	NCBI	GCA_004360235.1	Grus nigricollis
HLguaGua1	NCBI	GCA_011800095.1	Guaruba guarouba
HLgymCal1	DNA Zoo Consortium	none	Gymnogyps californianus
HLgymTib1	NCBI	GCA_013399875.1	Gymnorhina tibicen
HLhalAlb2	NCBI	GCA_013398555.1	Haliaeetus albicilla
HLhalPel1	NCBI	GCA_014363185.1	Haliaeetus pelagicus
HLhalSen1	NCBI	GCA_013397595.1	Halcyon senegalensis
HLhelFul1	NCBI	GCA_013399135.1	Heliornis fulica
HLhemCom2	NCBI	GCA_020745705.1	Hemiprocne comata
HLhemVir1	NCBI	GCA_003286495.1	Hemignathus virens
HLhemWil1	NCBI	GCA_009690805.1	Hemignathus wilsoni
HLherCac1	NCBI	GCA_013399355.1	Herpetotheres cachinnans
HLhetAtr1	NCBI	GCA_011075105.1	Heteronetta atricapilla
HLhimHim1	NCBI	GCA_003993805.1	Himantopus himantopus leucocephalus
HLhimHim2	NCBI	GCA_013400095.1	Himantopus himantopus
HLhipIct1	NCBI	GCA_013400075.1	Hippolais icterina
HLhirRus1	NCBI	GCA_003692655.1	Hirundo rustica rustica
HLhirRus2	NCBI	GCA_015227805.1	Hirundo rustica
HLhydTet1	NCBI	GCA_013397025.1	Hydrobates tethys
HLhylPra1	NCBI	GCA_013397195.1	Hylia prasina
HLibiStr1	NCBI	GCA_013398815.1	Ibidorhyncha struthersii
HLifrKow1	NCBI	GCA_013398055.1	Ifrita kowaldi
HLillCle1	NCBI	GCA_013399915.1	Illadopsis cleaveri
HLindMac1	NCBI	GCA_013399975.1	Indicator maculatus
HLireCya1	NCBI	GCA_013397155.1	Irena cyanogastra
HLjacJac1	NCBI	GCA_013400555.1	Jacana jacana
HLjunHye1	NCBI	GCA_003829775.1	Junco hyemalis
HLlagLeu1	NCBI	GCF_019238085.1	Lagopus leucura
HLlamSup1	NCBI	GCA_015883425.1	Lamprotornis superbus
HLlanCol1	NCBI	GCA_020086605.1	Lanius collurio
HLlanLud1	NCBI	GCA_013397235.1	Lanius ludovicianus
HLlarSmi1	NCBI	GCA_013400295.1	Larus smithsonianus
HLlatJamCot1	NCBI	GCA_022605575.1	Laterallus jamaicensis coturniculus
