Endothelial cell	Endothelial	136,204,238
Ensheathingglia	Other	153,153,153
Enteric glia	Other	153,153,153
Enteric neuron	Other neuron	86,180,233
Enterochromaffin	Epithelial	17,119,51
Enterocyte	Epithelial	17,119,51
Enteroendocrine	Epithelial	17,119,51
Ependymal cell	Ependymal	68,170,153
Epicardial	Epithelial	17,119,51
Epicardium	Epithelial	17,119,51
Epithelial cell	Epithelial	17,119,51
Erythroblast	Erythroid	170,68,153
Erythroid cell	Erythroid	170,68,153
Excitatory neuron	Excitatory neuron	0,114,178
Extravillous trophoblast	Epithelial	17,119,51
FC	Unknown	187,187,187
Fibroblast	Stromal	153,79,0
Fibroblast like cells	Stromal	153,79,0
Flat midget bipolar	Excitatory neuron	0,114,178
Flybrain consensus	Unknown	187,187,187
Folh1 GABAergic neuron (D3 MSN-like)	Inhibitory neuron	213,94,0
Foveolar	Epithelial	17,119,51
GABAergic	Inhibitory neuron	213,94,0
GABAergic neuron	Inhibitory neuron	213,94,0
Ganglion	Other neuron	86,180,233
Gastric goblet	Epithelial	17,119,51
Gastric neuroendocrine	Epithelial	17,119,51
Glial	Other	153,153,153
Glutamatergic neuron	Excitatory neuron	0,114,178
Glycinergic	Inhibitory neuron	213,94,0
Goblet	Epithelial	17,119,51
Granular epidermal	Epithelial	17,119,51
Granule neurons	Excitatory neuron	0,114,178
Hematopoietic stem	Hematopoietic stem/progenitor	153,153,51
Hematopoietic stem cell	Hematopoietic stem/progenitor	153,153,51
Hepatic macrophage	Immune	238,102,119
Hepatic stellate	Stromal	153,79,0
Hepatoblast	Epithelial	17,119,51
Hepatocyte	Epithelial	17,119,51
Hippocampal CA1 excitatory neuron	Excitatory neuron	0,114,178
Hippocampal CA3 excitatory neuron	Excitatory neuron	0,114,178
Horizontal	Inhibitory neuron	213,94,0
Horizontal cell	Inhibitory neuron	213,94,0
HT	Unknown	187,187,187
Immune cell	Immune	238,102,119
Inhibitory neuron	Inhibitory neuron	213,94,0
Inhibitory neuron (Lrrc38/Plcxd3)	Inhibitory neuron	213,94,0
Inhibitory neuron (Meis2)	Inhibitory neuron	213,94,0
Inhibitory neuron (Six3)	Inhibitory neuron	213,94,0
Inhibitory neuron (Sst/Pvalb)	Inhibitory neuron	213,94,0
Inhibitory neuron (Vip/Npy)	Inhibitory neuron	213,94,0
Insular neurons	Other neuron	86,180,233
Intermediate progenitor	Neural progenitor	51,34,136
Interneuron	Inhibitory neuron	213,94,0
Intratelencephalic excitatory neuron (hippocampal formation)	Excitatory neuron	0,114,178
Islet endocrine	Epithelial	17,119,51
KC AB	Other neuron	86,180,233
KC ABp	Other neuron	86,180,233
KC G	Other neuron	86,180,233
Keratinocyte	Epithelial	17,119,51
L2 l3	Unknown	187,187,187
L2/3 IT	Excitatory neuron	0,114,178
L4 IT	Excitatory neuron	0,114,178
L5 ET	Excitatory neuron	0,114,178
L5 IT	Excitatory neuron	0,114,178
L5/6 NP	Excitatory neuron	0,114,178
L6 CT	Excitatory neuron	0,114,178
L6 IT	Excitatory neuron	0,114,178
L6 IT Car3	Excitatory neuron	0,114,178
L6b	Excitatory neuron	0,114,178
Lamp5	Inhibitory neuron	213,94,0
Lamp5 GABAergic interneuron	Inhibitory neuron	213,94,0
Lamp5 Lhx6	Inhibitory neuron	213,94,0
Late pro-B cell	Immune	238,102,119
Lateral septum GABAergic neuron	Inhibitory neuron	213,94,0
Layer 2/3 excitatory neuron	Excitatory neuron	0,114,178
Layer 4 excitatory neuron	Excitatory neuron	0,114,178
Layer 5 excitatory neuron (Deptor)	Excitatory neuron	0,114,178
Layer 5 excitatory neuron (Fezf2)	Excitatory neuron	0,114,178
Layer 5 excitatory neuron (Parm1)	Excitatory neuron	0,114,178
Layer 6 excitatory neuron	Excitatory neuron	0,114,178
Lhx8 GABAergic neuron	Inhibitory neuron	213,94,0
Limbic system neurons	Other neuron	86,180,233
LLPC1	Unknown	187,187,187
LM	Unknown	187,187,187
Loop of Henle cell	Epithelial	17,119,51
Luteal cell	Epithelial	17,119,51
Lymphatic endothelial	Endothelial	136,204,238
Lymphocyte	Immune	238,102,119
Lymphoid	Immune	238,102,119
Lymphoid and myeloid	Immune	238,102,119
Lymphoid-myeloid	Immune	238,102,119
Macrophage	Immune	238,102,119
Mast	Immune	238,102,119
Matrix D1 neuron (pallidum)	Medium spiny neuron	230,159,0
Medial septum GABAergic neuron	Inhibitory neuron	213,94,0
Medium spiny neuron	Medium spiny neuron	230,159,0
Megakaryocytes	Erythroid	170,68,153
Melanocyte	Other	153,153,153
Memory B	Immune	238,102,119
Mesangial	Mural	221,204,119
MESC	Unknown	187,187,187
Mesenchymal cell	Stromal	153,79,0
Mesenchymal stem cell	Stromal	153,79,0
Mesothelial	Epithelial	17,119,51
Metanephric	Epithelial	17,119,51
MGE progenitors	Neural progenitor	51,34,136
Mi1	Other neuron	86,180,233
Mi15	Other neuron	86,180,233
Mi9	Other neuron	86,180,233
Microglia	Microglia	0,0,0
Microglia / perivascular macrophage	Microglia	0,0,0
Microglia-PVM	Microglia	0,0,0
ML cone	Other neuron	86,180,233
Monocyte	Immune	238,102,119
Muller glia	Astrocyte	0,158,115
Muscle satellite cell	Muscle	102,17,0
Myelin-forming oligodendrocyte	Oligodendrocyte	204,121,167
Myeloid	Immune	238,102,119
Myoepithelial	Epithelial	17,119,51
Myotendinous junction myonuclei	Muscle	102,17,0
Naive B cell	Immune	238,102,119
Naive T	Immune	238,102,119
Natural killer T	Immune	238,102,119
Nephron progenitor	Stromal	153,79,0
Neural crest	Neural progenitor	51,34,136
Neural retinal progenitor	Neural progenitor	51,34,136
Neuroendocrine	Epithelial	17,119,51
Neuromuscular junction myonuclei	Muscle	102,17,0
Neuron cluster10	Other neuron	86,180,233
Neuron cluster11	Other neuron	86,180,233
Neuron cluster12	Other neuron	86,180,233
Neuron cluster13	Other neuron	86,180,233
