accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX3579756	DNA of the whole pupae	NA	DNA of the whole pupae	NA	SRP130760	SRS2849185	0.991	0.013	48.798	0.711	0.548	0.966	65776.82	2002	241814.68	499
SRX3579757	DNA of the whole pupae	NA	DNA of the whole pupae	NA	SRP130760	SRS2849190	0.992	0.011	39.609	0.726	0.488	0.931	58375.79	1922	258743.73	443
SRX3579758	DNA of the whole pupae	NA	DNA of the whole pupae	NA	SRP130760	SRS2849187	0.993	0.011	7.342	0.691	0.822	0.854	145265.76	414	346979.78	267
SRX3579759	DNA of the whole pupae	NA	DNA of the whole pupae	NA	SRP130760	SRS2849189	0.992	0.013	7.560	0.686	0.817	0.874	134178.27	568	313513.25	332
SRX3579760	DNA of the whole pupae	NA	DNA of the whole pupae	NA	SRP130760	SRS2849189	0.992	0.011	9.590	0.685	0.792	0.884	127965.21	626	334366.21	283
SRX3579769	DNA of the whole pupae	NA	DNA of the whole pupae	NA	SRP130760	SRS2849187	0.992	0.011	7.272	0.695	0.833	0.863	147880.25	442	355651.96	257
SRX4341973	Sperm	NA	sperm	Drone sperm	SRP152109	SRS3502572	1.000	0.006	13.584	0.758	0.772	0.943	77894.66	1919	5152.66	1138
SRX4341974	Embryo	NA	embryo	Worker embryo	SRP152109	SRS3502573	0.999	0.008	10.026	0.715	0.749	0.943	77410.98	1935	15448.92	169
SRX4341975	Larva	NA	larva	Worker larva	SRP152109	SRS3502574	0.991	0.016	3.756	0.256	0.145	0.906	167265.88	158	325561.45	279
SRX4341976	Pupa	NA	pupa	Worker pupa	SRP152109	SRS3502597	0.999	0.005	22.717	0.791	0.651	0.951	75266.84	2015	4574.09	22
SRX4341977	Head	NA	head	Worker head	SRP152109	SRS3502575	0.999	0.006	14.843	0.726	0.436	0.951	79017.96	1893	9811.92	478
SRX4341978	Larva	NA	larva	Drone Larva	SRP152109	SRS3502576	0.999	0.006	25.328	0.601	0.609	0.948	69356.77	2128	16466.73	37
