accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX258329	SRS405717	NA	NA	NA	SRP020008	SRS405717	0.931	0.843	9.937	0.417	0.863	0.914	1161.72	35154	6148.51	2211
SRX273739	Sperm	sperm	NA	sperm	SRP018408	SRS418166	0.974	0.861	46.131	0.762	0.924	0.964	1156.65	43745	8172.65	2364
SRX273740	Egg	egg	NA	egg	SRP018408	SRS418157	0.993	0.758	58.601	0.749	0.779	0.969	1007.81	72074	8229.28	1777
SRX273741	16-cell	16-cell	NA	16-cell	SRP018408	SRS418158	0.989	0.807	38.017	0.545	0.786	0.960	1023.33	39691	6955.8	1797
SRX273742	32-cell	32-cell	NA	32-cell	SRP018408	SRS418159	0.996	0.787	46.081	0.652	0.676	0.967	1043.25	42614	7485.76	1876
SRX273743	64-cell	64-cell	NA	64-cell	SRP018408	SRS418160	0.988	0.817	37.958	0.418	0.487	0.932	987.93	39581	6795.94	1793
SRX273744	128-cell	128-cell	NA	128-cell	SRP018408	SRS418161	0.955	0.827	40.483	0.507	0.657	0.965	1040.04	42054	7423.13	2010
SRX273746	Germring	Germring	NA	Germring	SRP018408	SRS418163	0.991	0.849	40.849	0.688	0.891	0.963	1044.14	41836	6859.92	2192
SRX273747	Testis	testis	NA	testis	SRP018408	SRS418164	0.907	0.851	29.434	0.656	0.794	0.952	1045.69	41959	8442.05	2012
SRX2789103	Whole Embryo	NA	whole embryo	control rep1	SRP106718	SRS2170742	0.993	0.752	8.699	0.698	0.837	0.890	1291.79	33385	7572.09	1437
SRX2789104	Whole Embryo	NA	whole embryo	control rep1	SRP106718	SRS2170744	0.983	0.772	3.895	0.667	0.674	0.760	1373.4	27983	13880.73	379
SRX2789105	Whole Embryo	NA	whole embryo	control rep2	SRP106718	SRS2170743	0.993	0.749	8.953	0.705	0.812	0.900	1263.64	34299	7254.01	1608
SRX2789106	Whole Embryo	NA	whole embryo	control rep2	SRP106718	SRS2170745	0.984	0.770	4.712	0.679	0.641	0.795	1373.7	29055	12638.8	445
SRX2789107	Whole Embryo	NA	whole embryo	control rep3	SRP106718	SRS2170746	0.994	0.759	8.719	0.710	0.857	0.886	1289.1	33243	7683.2	1338
SRX2789108	Whole Embryo	NA	whole embryo	control rep3	SRP106718	SRS2170747	0.987	0.757	4.766	0.703	0.710	0.789	1357.01	29248	12526.57	463
SRX2789109	Whole Embryo	NA	whole embryo	dnmt1 mutant rep1	SRP106718	SRS2170748	0.994	0.499	8.787	0.701	0.811	0.893	2742.21	30302	10840.47	798
SRX2789110	Whole Embryo	NA	whole embryo	dnmt1 mutant rep1	SRP106718	SRS2170749	0.986	0.545	6.273	0.683	0.677	0.810	2710.41	24584	15618.34	312
