accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
ERX6534759	gamma-delta T cell	gamma-delta T cell	NA	NA	ERP131796	ERS6178602	0.983	0.820	3.453	0.813	0.800	0.901	1354.11	35457	29904.67	1141
ERX6534760	CD8-positive alpha-beta cytotoxic T cell	CD8-positive, alpha-beta cytotoxic T cell	NA	NA	ERP131796	ERS6178598	0.983	0.819	4.114	0.804	0.844	0.921	1339.5	35595	31761.04	1119
ERX6534761	CD8-positive alpha-beta cytotoxic T cell	CD8-positive, alpha-beta cytotoxic T cell	NA	NA	ERP131796	ERS6178598	0.983	0.819	4.089	0.807	0.851	0.920	1344.5	35431	31794.71	1066
ERX6534762	CD8-positive alpha-beta cytotoxic T cell	CD8-positive, alpha-beta cytotoxic T cell	NA	NA	ERP131796	ERS6178598	0.983	0.819	3.995	0.803	0.820	0.916	1375.49	34038	30061.45	1173
ERX6534763	CD4-positive helper T cell	CD4-positive helper T cell	NA	NA	ERP131796	ERS6178599	0.983	0.823	3.137	0.813	0.816	0.873	1410.54	32537	43317.58	762
ERX6534764	CD4-positive helper T cell	CD4-positive helper T cell	NA	NA	ERP131796	ERS6178599	0.983	0.823	3.379	0.816	0.809	0.887	1429.54	32008	38778.66	918
ERX6534765	CD4-positive helper T cell	CD4-positive helper T cell	NA	NA	ERP131796	ERS6178599	0.983	0.823	3.366	0.817	0.790	0.886	1411.01	32742	41637.01	771
ERX6534766	CD4-positive alpha-beta T cell	CD4-positive, alpha-beta T cell	NA	NA	ERP131796	ERS6178612	0.984	0.765	2.964	0.812	0.829	0.871	1671.96	30225	54208.82	657
ERX6534767	CD4-positive alpha-beta T cell	CD4-positive, alpha-beta T cell	NA	NA	ERP131796	ERS6178612	0.984	0.765	2.946	0.815	0.836	0.870	1700.61	28937	50450.1	721
ERX6534768	CD4-positive alpha-beta T cell	CD4-positive, alpha-beta T cell	NA	NA	ERP131796	ERS6178612	0.984	0.765	2.882	0.811	0.811	0.865	1704.19	28675	50411.06	769
ERX6534769	Myeloid Leukocyte	myeloid leukocyte	NA	NA	ERP131796	ERS6178592	0.983	0.822	2.959	0.811	0.810	0.845	1423.0	33258	43440.16	732
ERX6534770	Myeloid Leukocyte	myeloid leukocyte	NA	NA	ERP131796	ERS6178592	0.983	0.822	3.175	0.814	0.803	0.860	1337.73	37001	46320.34	661
ERX6534771	Myeloid Leukocyte	myeloid leukocyte	NA	NA	ERP131796	ERS6178592	0.983	0.822	3.149	0.815	0.785	0.858	1346.33	36369	42337.59	748
ERX6534772	naive B cell	naive B cell	NA	NA	ERP131796	ERS6178595	0.983	0.782	3.064	0.818	0.837	0.878	1548.53	32521	36063.95	635
ERX6534773	naive B cell	naive B cell	NA	NA	ERP131796	ERS6178595	0.983	0.783	3.280	0.822	0.826	0.892	1508.01	34278	34148.36	716
ERX6534774	naive B cell	naive B cell	NA	NA	ERP131796	ERS6178595	0.983	0.783	3.247	0.823	0.805	0.890	1598.62	30582	35325.81	679
ERX6534775	memory B cell	memory B cell	NA	NA	ERP131796	ERS6178608	0.983	0.808	2.542	0.815	0.832	0.835	1493.71	30357	47125.87	603
ERX6534776	memory B cell	memory B cell	NA	NA	ERP131796	ERS6178608	0.983	0.808	2.711	0.818	0.824	0.851	1531.42	29371	36988.61	769
ERX6534777	memory B cell	memory B cell	NA	NA	ERP131796	ERS6178608	0.983	0.808	2.683	0.819	0.807	0.848	1503.56	30137	38145.89	745
ERX6534778	Neutrophils	Neutrophils	NA	NA	ERP131796	ERS7668114	0.983	0.811	2.800	0.793	0.840	0.833	1483.41	29766	39205.35	800
ERX6534779	Neutrophils	Neutrophils	NA	NA	ERP131796	ERS7668114	0.983	0.811	2.786	0.796	0.847	0.833	1427.66	31571	42533.12	720
ERX6534780	Neutrophils	Neutrophils	NA	NA	ERP131796	ERS7668114	0.983	0.811	2.715	0.793	0.819	0.825	1467.33	30033	39061.05	844
ERX6534781	Neutrophils	Neutrophils	NA	NA	ERP131796	ERS7668115	0.983	0.797	3.345	0.813	0.816	0.889	1416.97	34114	39030.85	818
ERX6534782	Neutrophils	Neutrophils	NA	NA	ERP131796	ERS7668115	0.983	0.797	3.591	0.815	0.806	0.901	1398.65	34659	29587.58	1005
ERX6534783	Neutrophils	Neutrophils	NA	NA	ERP131796	ERS7668115	0.983	0.797	3.564	0.816	0.786	0.900	1375.19	35731	29271.22	1037
ERX6534784	Natural Killer Cells	Natural Killer Cells	NA	NA	ERP131796	ERS7668113	0.983	0.767	3.129	0.822	0.823	0.876	1671.08	27898	64076.53	1123
ERX6534785	Natural Killer Cells	Natural Killer Cells	NA	NA	ERP131796	ERS7668113	0.983	0.767	3.357	0.825	0.818	0.889	1578.28	30987	63089.26	1167
ERX6534786	Natural Killer Cells	Natural Killer Cells	NA	NA	ERP131796	ERS7668113	0.983	0.767	3.335	0.825	0.802	0.888	1598.31	30145	64066.15	1170
ERX7301022	Liver	NA	liver	NA	ERP133919	ERS9391511	0.983	0.593	12.921	0.761	0.761	0.981	1224.08	35042	21722.35	1713
ERX7301023	Liver	NA	liver	NA	ERP133919	ERS9391490	0.983	0.618	10.898	0.756	0.786	0.977	1241.6	33862	16749.83	1692
ERX7301024	Liver	NA	liver	NA	ERP133919	ERS9391504	0.983	0.614	12.045	0.771	0.776	0.980	1215.5	35888	19694.65	1647
ERX7301025	Liver	NA	liver	NA	ERP133919	ERS9391498	0.983	0.606	11.756	0.763	0.783	0.981	1190.34	36433	19183.31	1751
ERX7301026	Liver	NA	liver	NA	ERP133919	ERS9391520	0.983	0.631	9.364	0.757	0.775	0.971	1349.7	32408	24318.22	1758
ERX7301027	Liver	NA	liver	NA	ERP133919	ERS9391513	0.983	0.630	10.588	0.764	0.794	0.976	1315.48	32856	32484.91	2115
ERX7301028	Liver	NA	liver	NA	ERP133919	ERS9391489	0.983	0.625	11.678	0.749	0.815	0.982	1222.25	33280	24322.46	1745
ERX7301029	Liver	NA	liver	NA	ERP133919	ERS9391506	0.982	0.634	11.678	0.763	0.779	0.980	1203.73	34692	24388.16	2130
ERX7301030	Brain	NA	brain	NA	ERP133919	ERS9391514	0.978	0.772	12.622	0.786	0.767	0.982	1301.7	46252	39445.89	2392
ERX7301031	Brain	NA	brain	NA	ERP133919	ERS9391523	0.979	0.774	9.213	0.786	0.804	0.975	1405.19	42846	38978.34	2276
ERX7301032	Brain	NA	brain	NA	ERP133919	ERS9391507	0.978	0.777	8.918	0.790	0.797	0.971	1384.13	39029	26941.23	2239
ERX7301033	Brain	NA	brain	NA	ERP133919	ERS9391499	0.978	0.774	9.776	0.779	0.813	0.979	1319.56	41799	29838.5	2362
ERX7301034	Brain	NA	brain	NA	ERP133919	ERS9391509	0.978	0.758	9.090	0.781	0.810	0.976	1423.73	53395	37382.41	2326
ERX7301035	Brain	NA	brain	NA	ERP133919	ERS9391521	0.977	0.755	9.913	0.762	0.815	0.980	1354.63	54262	34956.06	2523
ERX7301036	Brain	NA	brain	NA	ERP133919	ERS9391515	0.977	0.753	10.018	0.768	0.795	0.980	1357.61	55026	36787.57	2405
ERX7301037	Brain	NA	brain	NA	ERP133919	ERS9391502	0.978	0.756	11.444	0.762	0.796	0.982	1308.31	59668	35727.91	2470
ERX7301038	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391516	0.978	0.760	11.174	0.794	0.799	0.980	1305.21	44820	30062.07	2571
ERX7301039	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391503	0.978	0.758	11.070	0.794	0.802	0.980	1277.73	41112	25641.3	2532
ERX7301040	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391496	0.978	0.756	10.432	0.781	0.780	0.980	1281.87	42083	26693.73	2345
ERX7301041	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391508	0.978	0.762	9.889	0.787	0.806	0.979	1333.94	41184	29438.83	2491
ERX7301042	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391519	0.978	0.720	9.643	0.788	0.812	0.979	1439.12	48717	45830.62	2353
ERX7301043	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391512	0.978	0.725	11.389	0.777	0.805	0.981	1354.1	52042	42744.2	2587
ERX7301044	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391492	0.978	0.725	8.528	0.791	0.812	0.975	1496.96	46851	44895.03	2565
ERX7301045	Skeletal Muscle Tissue	NA	skeletal muscle tissue	NA	ERP133919	ERS9391505	0.978	0.731	10.100	0.780	0.808	0.977	1402.45	49601	43058.82	2250
ERX7301046	Placenta	NA	placenta	NA	ERP133919	ERS9391525	0.979	0.612	12.214	0.793	0.785	0.982	1725.42	40105	890747.24	1080
ERX7301047	Placenta	NA	placenta	NA	ERP133919	ERS9391501	0.978	0.642	11.839	0.779	0.787	0.982	1496.16	39360	335213.82	2047
ERX7301048	Placenta	NA	placenta	NA	ERP133919	ERS9391494	0.979	0.612	9.516	0.789	0.798	0.972	2163.2	35268	1358156.52	766
ERX7301049	Placenta	NA	placenta	NA	ERP133919	ERS9391510	0.979	0.634	9.789	0.777	0.830	0.979	1595.48	35626	362406.12	2077
ERX7301050	Placenta	NA	placenta	NA	ERP133919	ERS9391522	0.978	0.581	9.407	0.774	0.799	0.980	3540.39	44938	986470.33	1064
ERX7301051	Placenta	NA	placenta	NA	ERP133919	ERS9391518	0.977	0.590	9.746	0.797	0.744	0.974	3776.73	50733	840864.5	1242
ERX7301052	Placenta	NA	placenta	NA	ERP133919	ERS9391491	0.977	0.598	10.008	0.791	0.795	0.978	2907.9	47726	791951.15	1280
ERX7301053	Placenta	NA	placenta	NA	ERP133919	ERS9391497	0.977	0.579	10.220	0.772	0.805	0.980	5353.12	54578	758224.1	1429
ERX9758927	Mature Neutrophil	mature neutrophil	NA	NA	ERP131796	ERS13473221	0.982	0.810	8.025	0.803	0.777	0.964	1214.87	40477	15099.86	2266
ERX9758928	Mature Neutrophil	mature neutrophil	NA	NA	ERP131796	ERS13473220	0.983	0.797	10.112	0.822	0.742	0.977	1107.42	47490	14732.02	2415
ERX9758929	Natural Killer	natural killer cell	NA	NA	ERP131796	ERS13473219	0.983	0.767	9.526	0.831	0.765	0.976	1257.27	40300	19949.12	2970
SRX11003185	Primary Dermal Fibroblasts	NA	Primary dermal fibroblasts	Primary dermal fibroblasts	SRP321573	SRS9077392	0.981	0.687	14.914	0.866	0.682	0.986	1834.88	72119	411910.24	1855
SRX11085678	Liver	NA	Liver	Liver	SRP323103	SRS9151308	0.987	0.692	15.090	0.819	0.559	0.981	2327.76	51599	568121.47	1640
SRX11085679	Backfat	NA	Backfat	Backfat	SRP323103	SRS9151310	0.986	0.766	15.996	0.801	0.499	0.977	1394.77	51319	29366.08	2607
SRX11085687	Liver	NA	Liver	Liver	SRP323103	SRS9151317	0.987	0.703	15.753	0.828	0.553	0.976	1981.73	46009	561604.86	1594
SRX11085688	Liver	NA	Liver	Liver	SRP323103	SRS9151318	0.987	0.709	16.758	0.819	0.507	0.976	2164.93	50028	507472.84	1732
SRX11085689	Liver	NA	Liver	Liver	SRP323103	SRS9151319	0.987	0.710	15.124	0.808	0.429	0.973	1916.14	44693	494493.25	1696
SRX11085690	Liver	NA	Liver	Liver	SRP323103	SRS9151320	0.986	0.700	18.332	0.828	0.572	0.983	1945.82	49920	545751.91	1660
SRX11085691	Backfat	NA	Backfat	Backfat	SRP323103	SRS9151321	0.986	0.754	17.966	0.810	0.578	0.984	1349.33	54513	31382.7	2518
SRX11085692	Backfat	NA	Backfat	Backfat	SRP323103	SRS9151322	0.986	0.759	20.297	0.826	0.658	0.985	1367.92	58076	31964.6	2784
SRX11085693	Backfat	NA	Backfat	Backfat	SRP323103	SRS9151323	0.986	0.774	15.298	0.806	0.574	0.970	1455.78	50421	32213.93	2369
SRX11085694	Backfat	NA	Backfat	Backfat	SRP323103	SRS9151324	0.986	0.767	16.971	0.818	0.564	0.978	1396.03	52579	28762.01	2524
SRX11440284	Sperm	NA	Sperm	Sperm	SRP328325	SRS9482747	0.982	0.843	8.841	0.796	0.609	0.947	1576.7	38173	11725.14	3803
SRX11440285	Sperm	NA	Sperm	Sperm	SRP328325	SRS9482748	0.989	0.839	7.647	0.736	0.618	0.938	1520.16	37946	10487.27	3951
SRX11440286	Sperm	NA	Sperm	Sperm	SRP328325	SRS9482749	0.987	0.822	10.421	0.672	0.637	0.974	1561.68	37177	12139.02	3030
SRX11440287	Sperm	NA	Sperm	Sperm	SRP328325	SRS9482750	0.992	0.836	9.187	0.777	0.622	0.955	1521.38	37740	13076.39	3249
SRX11440288	Sperm	NA	Sperm	Sperm	SRP328325	SRS9482751	0.946	0.852	9.599	0.777	0.611	0.960	1678.83	37799	13100.66	3338
SRX11440289	Sperm	NA	Sperm	Sperm	SRP328325	SRS9482752	0.991	0.832	9.953	0.747	0.511	0.968	1472.6	39550	10612.39	4153
SRX12305076	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278692	0.997	0.721	13.826	0.895	0.704	0.946	1792.0	49852	32675.64	2489
SRX12305077	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278694	0.997	0.724	13.868	0.893	0.673	0.929	1894.91	47403	34588.27	2446
SRX12305078	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278693	0.997	0.694	17.602	0.892	0.707	0.970	1759.83	54022	37269.13	2630
SRX12305079	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278696	0.997	0.694	17.303	0.877	0.700	0.978	1684.91	54622	36039.54	2671
SRX12305080	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278695	0.997	0.677	15.999	0.886	0.721	0.973	1899.78	55727	40340.49	3044
SRX12305081	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278697	0.997	0.681	15.604	0.892	0.710	0.972	1816.06	54947	53500.49	2787
SRX12305082	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278698	0.996	0.690	15.561	0.893	0.687	0.963	1887.86	52597	53613.2	2794
SRX12305083	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278699	0.996	0.689	18.379	0.875	0.711	0.967	1894.19	56627	57113.24	2835
SRX12305084	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278700	0.996	0.684	15.815	0.896	0.699	0.970	1841.59	52794	41096.75	3138
SRX12305085	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278704	0.996	0.679	15.752	0.893	0.738	0.970	1914.13	54090	58043.03	3137
SRX12305086	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278701	0.997	0.706	16.650	0.892	0.698	0.970	1669.73	51033	42264.19	2708
SRX12305087	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278703	0.997	0.697	17.847	0.890	0.708	0.972	1716.94	55528	44027.16	2641
SRX12305088	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278702	0.997	0.723	15.660	0.891	0.689	0.944	1753.12	50478	31968.32	2427
SRX12305089	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278706	0.997	0.713	13.852	0.900	0.654	0.958	1698.71	49340	34713.43	2409
SRX12305090	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278705	0.996	0.705	15.444	0.880	0.698	0.967	1770.72	51462	50233.02	2420
SRX12305091	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278707	0.997	0.694	15.898	0.875	0.723	0.972	1731.64	54085	33652.76	2673
SRX12305092	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278709	0.997	0.690	19.546	0.887	0.687	0.978	1702.62	58458	45272.21	2685
SRX12305093	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278708	0.996	0.698	16.124	0.888	0.711	0.976	1668.85	52322	35274.67	2473
SRX12305094	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278710	0.997	0.692	15.788	0.892	0.703	0.967	1804.05	54608	45525.33	2582
SRX12305095	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278711	0.997	0.689	15.645	0.888	0.701	0.971	1773.21	55485	44289.2	2668
SRX12305096	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278712	0.997	0.688	15.842	0.894	0.709	0.969	1800.75	53190	36919.35	2927
SRX12305097	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278713	0.997	0.688	15.975	0.893	0.685	0.961	1909.87	50142	51442.92	2709
SRX12305098	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278716	0.997	0.686	17.232	0.890	0.694	0.973	1786.26	54786	37108.55	2775
SRX12305099	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278717	0.996	0.701	13.497	0.880	0.663	0.951	1939.28	47394	51342.33	2861
