wgEncodeLicrHistoneCortexH3k4me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2011-01-19	n/a	2011-10-19
wgEncodeLicrHistoneCortexH3k4me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2011-01-19	n/a	2011-10-19
wgEncodeLicrHistoneCortexH3k4me3MAdult8wksC57bl6StdPk	LICR-m	2011-01-19	n/a	2011-10-19
wgEncodeLicrHistoneCortexH3k4me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-01-19	n/a	2011-10-19
wgEncodeLicrHistoneCortexH3k4me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-01-19	n/a	2011-10-19
wgEncodeLicrHistoneCortexH3k4me3MAdult8wksC57bl6StdSig	LICR-m	2011-01-19	n/a	2011-10-19
wgEncodeLicrHistoneCortexInputMAdult8wksC57bl6StdAlnRep1	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneCortexInputMAdult8wksC57bl6StdAlnRep2	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneCortexInputMAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneCortexInputMAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneCortexInputMAdult8wksC57bl6StdSig	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneEsb4H3k09acME0C57bl6StdAlnRep1	LICR-m	2012-06-27	n/a	2013-03-26
wgEncodeLicrHistoneEsb4H3k09acME0C57bl6StdAlnRep2	LICR-m	2012-06-27	n/a	2013-03-26
wgEncodeLicrHistoneEsb4H3k09acME0C57bl6StdPk	LICR-m	2012-06-27	n/a	2013-03-26
wgEncodeLicrHistoneEsb4H3k09acME0C57bl6StdRawDataRep1	LICR-m	2012-06-27	n/a	2013-03-26
wgEncodeLicrHistoneEsb4H3k09acME0C57bl6StdRawDataRep2	LICR-m	2012-06-27	n/a	2013-03-26
wgEncodeLicrHistoneEsb4H3k09acME0C57bl6StdSig	LICR-m	2012-06-27	n/a	2013-03-26
wgEncodeLicrHistoneEsb4H3k09me3ME0C57bl6StdAlnRep1	LICR-m	2012-03-31	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k09me3ME0C57bl6StdAlnRep2	LICR-m	2012-03-31	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k09me3ME0C57bl6StdPk	LICR-m	2012-03-31	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k09me3ME0C57bl6StdRawDataRep1	LICR-m	2012-03-31	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k09me3ME0C57bl6StdRawDataRep2	LICR-m	2012-03-31	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k09me3ME0C57bl6StdSig	LICR-m	2012-03-31	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k27acME0C57bl6StdAlnRep1	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneEsb4H3k27acME0C57bl6StdAlnRep2	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneEsb4H3k27acME0C57bl6StdPk	LICR-m	2012-02-15	n/a	2012-11-15
wgEncodeLicrHistoneEsb4H3k27acME0C57bl6StdRawDataRep1	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneEsb4H3k27acME0C57bl6StdRawDataRep2	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneEsb4H3k27acME0C57bl6StdSig	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneEsb4H3k27me3ME0C57bl6StdAlnRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k27me3ME0C57bl6StdAlnRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k27me3ME0C57bl6StdPk	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k27me3ME0C57bl6StdRawDataRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k27me3ME0C57bl6StdRawDataRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k27me3ME0C57bl6StdSig	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k36me3ME0C57bl6StdAlnRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k36me3ME0C57bl6StdAlnRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k36me3ME0C57bl6StdPk	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k36me3ME0C57bl6StdRawDataRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k36me3ME0C57bl6StdRawDataRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k36me3ME0C57bl6StdSig	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneEsb4H3k4me1ME0C57bl6StdAlnRep1	LICR-m	2011-05-06	n/a	2012-02-06
wgEncodeLicrHistoneEsb4H3k4me1ME0C57bl6StdAlnRep2	LICR-m	2011-05-06	n/a	2012-02-06
wgEncodeLicrHistoneEsb4H3k4me1ME0C57bl6StdPk	LICR-m	2011-05-06	n/a	2012-02-06
wgEncodeLicrHistoneEsb4H3k4me1ME0C57bl6StdRawDataRep1	LICR-m	2011-05-06	n/a	2012-02-06
wgEncodeLicrHistoneEsb4H3k4me1ME0C57bl6StdRawDataRep2	LICR-m	2011-05-06	n/a	2012-02-06
wgEncodeLicrHistoneEsb4H3k4me1ME0C57bl6StdSig	LICR-m	2011-05-06	n/a	2012-02-06
wgEncodeLicrHistoneEsb4H3k4me3ME0C57bl6StdAlnRep1	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4H3k4me3ME0C57bl6StdAlnRep2	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4H3k4me3ME0C57bl6StdPk	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4H3k4me3ME0C57bl6StdRawDataRep1	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4H3k4me3ME0C57bl6StdRawDataRep2	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4H3k4me3ME0C57bl6StdSig	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4InputME0C57bl6StdAlnRep1	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4InputME0C57bl6StdAlnRep2	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4InputME0C57bl6StdRawDataRep1	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4InputME0C57bl6StdRawDataRep2	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEsb4InputME0C57bl6StdSig	LICR-m	2011-05-06	n/a	2012-02-05
wgEncodeLicrHistoneEse14H3k04me1ME0129olaStdAlnRep1	LICR-m	2012-06-23	n/a	2013-03-22
wgEncodeLicrHistoneEse14H3k04me1ME0129olaStdAlnRep2	LICR-m	2012-06-23	n/a	2013-03-22
wgEncodeLicrHistoneEse14H3k04me1ME0129olaStdPk	LICR-m	2012-06-23	n/a	2013-03-22
wgEncodeLicrHistoneEse14H3k04me1ME0129olaStdRawDataRep1	LICR-m	2012-06-23	n/a	2013-03-22
wgEncodeLicrHistoneEse14H3k04me1ME0129olaStdRawDataRep2	LICR-m	2012-06-23	n/a	2013-03-22
wgEncodeLicrHistoneEse14H3k04me1ME0129olaStdSig	LICR-m	2012-06-23	n/a	2013-03-22
wgEncodeLicrHistoneEse14H3k04me3ME0129olaStdAlnRep1	LICR-m	2012-06-24	n/a	2013-03-23
wgEncodeLicrHistoneEse14H3k04me3ME0129olaStdAlnRep2	LICR-m	2012-06-24	n/a	2013-03-23
wgEncodeLicrHistoneEse14H3k04me3ME0129olaStdPk	LICR-m	2012-06-24	n/a	2013-03-23
wgEncodeLicrHistoneEse14H3k04me3ME0129olaStdRawDataRep1	LICR-m	2012-06-24	n/a	2013-03-23
wgEncodeLicrHistoneEse14H3k04me3ME0129olaStdRawDataRep2	LICR-m	2012-06-24	n/a	2013-03-23
wgEncodeLicrHistoneEse14H3k04me3ME0129olaStdSig	LICR-m	2012-06-24	n/a	2013-03-23
wgEncodeLicrHistoneEse14H3k09acME0129olaStdAlnRep1	LICR-m	2012-06-25	n/a	2013-03-24
wgEncodeLicrHistoneEse14H3k09acME0129olaStdAlnRep2	LICR-m	2012-06-25	n/a	2013-03-24
wgEncodeLicrHistoneEse14H3k09acME0129olaStdPk	LICR-m	2012-06-25	n/a	2013-03-24
wgEncodeLicrHistoneEse14H3k09acME0129olaStdRawDataRep1	LICR-m	2012-06-25	n/a	2013-03-24
wgEncodeLicrHistoneEse14H3k09acME0129olaStdRawDataRep2	LICR-m	2012-06-25	n/a	2013-03-24
wgEncodeLicrHistoneEse14H3k09acME0129olaStdSig	LICR-m	2012-06-25	n/a	2013-03-24
wgEncodeLicrHistoneEse14H3k27acME0129olaStdAlnRep1	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k27acME0129olaStdAlnRep2	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k27acME0129olaStdPk	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k27acME0129olaStdRawDataRep1	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k27acME0129olaStdRawDataRep2	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k27acME0129olaStdSig	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k36me3ME0129olaStdAlnRep1	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k36me3ME0129olaStdAlnRep2	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k36me3ME0129olaStdPk	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k36me3ME0129olaStdRawDataRep1	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k36me3ME0129olaStdRawDataRep2	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneEse14H3k36me3ME0129olaStdSig	LICR-m	2012-06-26	n/a	2013-03-26
wgEncodeLicrHistoneHeartH3k04me1UE14halfC57bl6StdAlnRep1	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me1UE14halfC57bl6StdAlnRep2	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me1UE14halfC57bl6StdPk	LICR-m	2012-02-14	n/a	2012-11-14
wgEncodeLicrHistoneHeartH3k04me1UE14halfC57bl6StdRawDataRep1	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me1UE14halfC57bl6StdRawDataRep2	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me1UE14halfC57bl6StdSig	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me3UE14halfC57bl6StdAlnRep1	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me3UE14halfC57bl6StdAlnRep2	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me3UE14halfC57bl6StdPk	LICR-m	2012-02-14	n/a	2012-11-14
wgEncodeLicrHistoneHeartH3k04me3UE14halfC57bl6StdRawDataRep1	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me3UE14halfC57bl6StdRawDataRep2	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k04me3UE14halfC57bl6StdSig	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k09acMAdult8wksC57bl6StdAlnRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k09acMAdult8wksC57bl6StdAlnRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k09acMAdult8wksC57bl6StdPk	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k09acMAdult8wksC57bl6StdRawDataRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k09acMAdult8wksC57bl6StdRawDataRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k09acMAdult8wksC57bl6StdSig	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k27acMAdult8wksC57bl6StdAlnRep1	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneHeartH3k27acMAdult8wksC57bl6StdAlnRep2	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneHeartH3k27acMAdult8wksC57bl6StdPk	LICR-m	2012-02-15	n/a	2012-11-15
wgEncodeLicrHistoneHeartH3k27acMAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneHeartH3k27acMAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneHeartH3k27acMAdult8wksC57bl6StdSig	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneHeartH3k27acUE14halfC57bl6StdAlnRep1	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k27acUE14halfC57bl6StdAlnRep2	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k27acUE14halfC57bl6StdPk	LICR-m	2012-02-14	n/a	2012-11-14
wgEncodeLicrHistoneHeartH3k27acUE14halfC57bl6StdRawDataRep1	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k27acUE14halfC57bl6StdRawDataRep2	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k27acUE14halfC57bl6StdSig	LICR-m	2012-01-04	n/a	2012-10-04
wgEncodeLicrHistoneHeartH3k27me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k27me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k27me3MAdult8wksC57bl6StdPk	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k27me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k27me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k27me3MAdult8wksC57bl6StdSig	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k36me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k36me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k36me3MAdult8wksC57bl6StdPk	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k36me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k36me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k36me3MAdult8wksC57bl6StdSig	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k4me1MAdult8wksC57bl6StdAlnRep1	LICR-m	2010-11-01	2011-04-12	2011-08-01
wgEncodeLicrHistoneHeartH3k4me1MAdult8wksC57bl6StdAlnRep2	LICR-m	2010-11-01	2011-04-12	2011-08-01
wgEncodeLicrHistoneHeartH3k4me1MAdult8wksC57bl6StdPk	LICR-m	2010-11-01	2011-04-12	2011-08-01
wgEncodeLicrHistoneHeartH3k4me1MAdult8wksC57bl6StdRawDataRep1	LICR-m	2010-11-01	2011-04-12	2011-08-01
wgEncodeLicrHistoneHeartH3k4me1MAdult8wksC57bl6StdRawDataRep2	LICR-m	2010-11-01	2011-04-12	2011-08-01
wgEncodeLicrHistoneHeartH3k4me1MAdult8wksC57bl6StdSig	LICR-m	2010-11-01	2011-04-12	2011-08-01
wgEncodeLicrHistoneHeartH3k4me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneHeartH3k4me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneHeartH3k4me3MAdult8wksC57bl6StdPk	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneHeartH3k4me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneHeartH3k4me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneHeartH3k4me3MAdult8wksC57bl6StdSig	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneHeartH3k79me2MAdult8wksC57bl6StdAlnRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k79me2MAdult8wksC57bl6StdAlnRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k79me2MAdult8wksC57bl6StdPk	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k79me2MAdult8wksC57bl6StdRawDataRep1	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k79me2MAdult8wksC57bl6StdRawDataRep2	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartH3k79me2MAdult8wksC57bl6StdSig	LICR-m	2012-02-28	n/a	2012-11-28
wgEncodeLicrHistoneHeartInputMAdult8wksC57bl6StdAlnRep1	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneHeartInputMAdult8wksC57bl6StdAlnRep1V2	LICR-m	2012-02-13	n/a	2012-11-13
wgEncodeLicrHistoneHeartInputMAdult8wksC57bl6StdAlnRep2	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneHeartInputMAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneHeartInputMAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneHeartInputMAdult8wksC57bl6StdSig	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneHeartInputUE14halfC57bl6StdAlnRep1	LICR-m	2012-01-05	n/a	2012-10-04
wgEncodeLicrHistoneHeartInputUE14halfC57bl6StdAlnRep2	LICR-m	2012-01-05	n/a	2012-10-04
wgEncodeLicrHistoneHeartInputUE14halfC57bl6StdRawDataRep1	LICR-m	2012-01-05	n/a	2012-10-04
wgEncodeLicrHistoneHeartInputUE14halfC57bl6StdRawDataRep2	LICR-m	2012-01-05	n/a	2012-10-04
wgEncodeLicrHistoneHeartInputUE14halfC57bl6StdSig	LICR-m	2012-01-05	n/a	2012-10-04
wgEncodeLicrHistoneKidneyH3k27acMAdult8wksC57bl6StdAlnRep1	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneKidneyH3k27acMAdult8wksC57bl6StdAlnRep2	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneKidneyH3k27acMAdult8wksC57bl6StdPk	LICR-m	2012-02-15	n/a	2012-11-15
wgEncodeLicrHistoneKidneyH3k27acMAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneKidneyH3k27acMAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneKidneyH3k27acMAdult8wksC57bl6StdSig	LICR-m	2011-12-24	n/a	2012-09-23
wgEncodeLicrHistoneKidneyH3k27me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k27me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k27me3MAdult8wksC57bl6StdPk	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k27me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k27me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k27me3MAdult8wksC57bl6StdSig	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k36me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k36me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k36me3MAdult8wksC57bl6StdPk	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k36me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k36me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k36me3MAdult8wksC57bl6StdSig	LICR-m	2012-03-30	n/a	2012-12-30
wgEncodeLicrHistoneKidneyH3k4me1MAdult8wksC57bl6StdAlnRep1	LICR-m	2010-11-19	2011-04-07	2011-08-18
wgEncodeLicrHistoneKidneyH3k4me1MAdult8wksC57bl6StdAlnRep2	LICR-m	2010-11-19	2011-04-07	2011-08-18
wgEncodeLicrHistoneKidneyH3k4me1MAdult8wksC57bl6StdPk	LICR-m	2010-11-19	2011-04-07	2011-08-18
wgEncodeLicrHistoneKidneyH3k4me1MAdult8wksC57bl6StdRawDataRep1	LICR-m	2010-11-19	2011-04-07	2011-08-18
wgEncodeLicrHistoneKidneyH3k4me1MAdult8wksC57bl6StdRawDataRep2	LICR-m	2010-11-19	2011-04-07	2011-08-18
wgEncodeLicrHistoneKidneyH3k4me1MAdult8wksC57bl6StdSig	LICR-m	2010-11-19	2011-04-07	2011-08-18
wgEncodeLicrHistoneKidneyH3k4me3MAdult8wksC57bl6StdAlnRep1	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneKidneyH3k4me3MAdult8wksC57bl6StdAlnRep2	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneKidneyH3k4me3MAdult8wksC57bl6StdPk	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneKidneyH3k4me3MAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneKidneyH3k4me3MAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneKidneyH3k4me3MAdult8wksC57bl6StdSig	LICR-m	2011-04-12	n/a	2012-01-12
wgEncodeLicrHistoneKidneyInputMAdult8wksC57bl6StdAlnRep1	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneKidneyInputMAdult8wksC57bl6StdAlnRep1V2	LICR-m	2012-02-13	n/a	2012-11-13
wgEncodeLicrHistoneKidneyInputMAdult8wksC57bl6StdAlnRep2	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneKidneyInputMAdult8wksC57bl6StdRawDataRep1	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneKidneyInputMAdult8wksC57bl6StdRawDataRep2	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneKidneyInputMAdult8wksC57bl6StdSig	LICR-m	2011-04-27	n/a	2012-01-26
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdAlnRep1	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdAlnRep1V2	LICR-m	2012-06-07	n/a	2013-03-06
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdAlnRep2	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdAlnRep2V2	LICR-m	2012-06-07	n/a	2013-03-06
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdPk	LICR-m	2012-02-14	n/a	2012-11-14
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdRawDataRep1	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdRawDataRep1V2	LICR-m	2012-06-07	n/a	2013-03-06
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdRawDataRep2	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdRawDataRep2V2	LICR-m	2012-06-07	n/a	2013-03-06
wgEncodeLicrHistoneLimbH3k04me1UE14halfC57bl6StdSig	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdAlnRep1	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdAlnRep1V2	LICR-m	2012-06-06	n/a	2013-03-06
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdAlnRep2	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdPk	LICR-m	2012-02-14	n/a	2012-11-14
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdRawDataRep1	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdRawDataRep1V2	LICR-m	2012-06-06	n/a	2013-03-06
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdRawDataRep2	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k04me3UE14halfC57bl6StdSig	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k27acUE14halfC57bl6StdAlnRep1	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k27acUE14halfC57bl6StdAlnRep2	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k27acUE14halfC57bl6StdPk	LICR-m	2012-02-14	n/a	2012-11-14
wgEncodeLicrHistoneLimbH3k27acUE14halfC57bl6StdRawDataRep1	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k27acUE14halfC57bl6StdRawDataRep2	LICR-m	2011-12-23	n/a	2012-09-23
wgEncodeLicrHistoneLimbH3k27acUE14halfC57bl6StdSig	LICR-m	2011-12-23	n/a	2012-09-23
