wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xRawDataRep2	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xSigRep2	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12E2f4FCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Fosl1sc605FCntrl36bPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p24hPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p24hPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p24hPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl32bPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl36bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl36bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl36bE2p60hPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl36bPcr1xAlnRep1	Caltech-m	2011-10-18	n/a	2012-07-18
wgEncodeCaltechTfbsC2c12InputFCntrl36bPcr1xRawDataRep1	Caltech-m	2011-10-18	n/a	2012-07-18
wgEncodeCaltechTfbsC2c12InputFCntrl36bPcr1xSigRep1	Caltech-m	2011-10-18	n/a	2012-07-18
wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xAlnRep2	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xRawDataRep2	Caltech-m	2011-08-11	n/a	2012-05-11
