wgEncodeBroadHistoneA549CtcfEtoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549CtcfEtoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549CtcfEtoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azDex100nmAlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azDex100nmAlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azDex100nmPk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azDex100nmRawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azDex100nmRawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azDex100nmSig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azEtoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azEtoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azEtoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azEtoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azEtoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H2azEtoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me1Dex100nmAlnRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me1Dex100nmAlnRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me1Dex100nmPk	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me1Dex100nmRawDataRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me1Dex100nmRawDataRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me1Dex100nmSig	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me1Etoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me1Etoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me1Etoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me1Etoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me1Etoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me1Etoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k04me2Dex100nmAlnRep1	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k04me2Dex100nmAlnRep2	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k04me2Dex100nmPk	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k04me2Dex100nmRawDataRep1	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k04me2Dex100nmRawDataRep2	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k04me2Dex100nmSig	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k04me2Etoh02AlnRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me2Etoh02AlnRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me2Etoh02Pk	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me2Etoh02RawDataRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me2Etoh02RawDataRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me2Etoh02Sig	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k04me3Dex100nmAlnRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k04me3Dex100nmAlnRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k04me3Dex100nmPk	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k04me3Dex100nmRawDataRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k04me3Dex100nmRawDataRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k04me3Dex100nmSig	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k04me3Etoh02AlnRep1	Broad	2011-11-04	n/a	2012-08-04
wgEncodeBroadHistoneA549H3k04me3Etoh02AlnRep2	Broad	2011-11-04	n/a	2012-08-04
wgEncodeBroadHistoneA549H3k04me3Etoh02Pk	Broad	2011-11-04	n/a	2012-08-04
wgEncodeBroadHistoneA549H3k04me3Etoh02RawDataRep1	Broad	2011-11-04	n/a	2012-08-04
wgEncodeBroadHistoneA549H3k04me3Etoh02RawDataRep2	Broad	2011-11-04	n/a	2012-08-04
wgEncodeBroadHistoneA549H3k04me3Etoh02Sig	Broad	2011-11-04	n/a	2012-08-04
wgEncodeBroadHistoneA549H3k09acEtoh02AlnRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k09acEtoh02AlnRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k09acEtoh02Pk	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k09acEtoh02RawDataRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k09acEtoh02RawDataRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k09acEtoh02Sig	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k09me3Etoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k09me3Etoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k09me3Etoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k09me3Etoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k09me3Etoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k09me3Etoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27acDex100nmAlnRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k27acDex100nmAlnRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k27acDex100nmPk	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k27acDex100nmRawDataRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k27acDex100nmRawDataRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k27acDex100nmSig	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k27acEtoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27acEtoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27acEtoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27acEtoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27acEtoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27acEtoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Dex100nmAlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Dex100nmAlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Dex100nmPk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Dex100nmRawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Dex100nmRawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Dex100nmSig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Etoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Etoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Etoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Etoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Etoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k27me3Etoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k36me3Dex100nmAlnRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k36me3Dex100nmAlnRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k36me3Dex100nmPk	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k36me3Dex100nmRawDataRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k36me3Dex100nmRawDataRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k36me3Dex100nmSig	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneA549H3k36me3Etoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k36me3Etoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k36me3Etoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k36me3Etoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k36me3Etoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k36me3Etoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H3k79me2Dex100nmAlnRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k79me2Dex100nmAlnRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k79me2Dex100nmPk	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k79me2Dex100nmRawDataRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k79me2Dex100nmRawDataRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k79me2Dex100nmSig	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneA549H3k79me2Etoh02AlnRep1	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k79me2Etoh02AlnRep2	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k79me2Etoh02Pk	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k79me2Etoh02RawDataRep1	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k79me2Etoh02RawDataRep2	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H3k79me2Etoh02Sig	Broad	2012-07-24	n/a	2013-04-23
wgEncodeBroadHistoneA549H4k20me1Etoh02AlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H4k20me1Etoh02AlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H4k20me1Etoh02Pk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H4k20me1Etoh02RawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H4k20me1Etoh02RawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneA549H4k20me1Etoh02Sig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ControlAlnRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ControlAlnRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ControlRawDataRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ControlRawDataRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ControlSig	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfAlnRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfAlnRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfAlnRep3	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfPk	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfRawDataRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfRawDataRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfRawDataRep3	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20CtcfSig	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H2azAlnRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H2azAlnRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H2azPk	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H2azRawDataRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H2azRawDataRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H2azSig	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H3k04me2AlnRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H3k04me2AlnRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H3k04me2Pk	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H3k04me2RawDataRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H3k04me2RawDataRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20H3k04me2Sig	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794Ezh239875AlnRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794Ezh239875AlnRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794Ezh239875Pk	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794Ezh239875RawDataRep1	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794Ezh239875RawDataRep2	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794Ezh239875Sig	Broad	2012-07-26	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H3k27acAlnRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H3k27acAlnRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H3k27acPk	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H3k27acRawDataRep1	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H3k27acRawDataRep2	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H3k27acSig	Broad	2012-07-25	n/a	2013-04-25
wgEncodeBroadHistoneCd20ro01794H4k20me1AlnRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneCd20ro01794H4k20me1AlnRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneCd20ro01794H4k20me1Pk	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneCd20ro01794H4k20me1RawDataRep1	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneCd20ro01794H4k20me1RawDataRep2	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneCd20ro01794H4k20me1Sig	Broad	2012-07-28	n/a	2013-04-28
wgEncodeBroadHistoneDnd41ControlStdAlnRep1	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41ControlStdAlnRep2	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41ControlStdRawDataRep1	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41ControlStdRawDataRep2	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41ControlStdSig	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41CtcfAlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41CtcfAlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41CtcfPk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41CtcfRawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41CtcfRawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41CtcfSig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41Ezh239875AlnRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875AlnRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875AlnRep3	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875Pk	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875RawDataRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875RawDataRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875RawDataRep3	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41Ezh239875Sig	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H2azAlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H2azAlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H2azPk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H2azRawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H2azRawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H2azSig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me1AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me1AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me1Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me1RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me1RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me1Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me2AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me2AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me2Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me2RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me2RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me2Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me3AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me3AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me3Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me3RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me3RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k04me3Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k09acAlnRep1	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09acAlnRep2	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09acPk	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09acRawDataRep1	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09acRawDataRep2	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09acSig	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09me3AlnRep1	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09me3AlnRep2	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09me3Pk	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09me3RawDataRep1	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09me3RawDataRep2	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k09me3Sig	Broad	2011-10-26	n/a	2012-07-25
wgEncodeBroadHistoneDnd41H3k27acAlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k27acAlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k27acPk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k27acRawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k27acRawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k27acSig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k27me3AlnRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H3k27me3AlnRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H3k27me3Pk	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H3k27me3RawDataRep1	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H3k27me3RawDataRep2	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H3k27me3Sig	Broad	2012-03-15	n/a	2012-12-15
wgEncodeBroadHistoneDnd41H3k36me3AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k36me3AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k36me3Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k36me3RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k36me3RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k36me3Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k79me2AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k79me2AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k79me2Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k79me2RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k79me2RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H3k79me2Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H4k20me1AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H4k20me1AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H4k20me1Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H4k20me1RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H4k20me1RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneDnd41H4k20me1Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878ControlStdAlnRep1	Broad	2010-07-12	2010-11-05	2011-04-12
wgEncodeBroadHistoneGm12878ControlStdAlnRep2	Broad	2010-07-12	2010-11-05	2011-04-12
wgEncodeBroadHistoneGm12878ControlStdRawDataRep1	Broad	2009-01-05	n/a	2009-10-05
wgEncodeBroadHistoneGm12878ControlStdRawDataRep2	Broad	2009-01-05	n/a	2009-10-05
wgEncodeBroadHistoneGm12878ControlStdSig	Broad	2010-07-12	2010-11-05	2011-04-12
wgEncodeBroadHistoneGm12878CtcfStdAlnRep1	Broad	2009-01-05	2010-11-05	2009-10-05
wgEncodeBroadHistoneGm12878CtcfStdAlnRep2	Broad	2009-01-05	2010-11-05	2009-10-05
wgEncodeBroadHistoneGm12878CtcfStdPk	Broad	2010-11-05	2010-11-05	2011-05-05
wgEncodeBroadHistoneGm12878CtcfStdRawDataRep1	Broad	2009-01-05	n/a	2009-10-05
wgEncodeBroadHistoneGm12878CtcfStdRawDataRep2	Broad	2010-10-26	n/a	2011-07-26
wgEncodeBroadHistoneGm12878CtcfStdSig	Broad	2009-01-05	2010-11-05	2009-10-05
wgEncodeBroadHistoneGm12878Ezh239875AlnRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878Ezh239875AlnRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878Ezh239875Pk	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878Ezh239875RawDataRep1	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878Ezh239875RawDataRep2	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878Ezh239875Sig	Broad	2011-10-21	n/a	2012-07-21
wgEncodeBroadHistoneGm12878H2azStdAlnRep1	Broad	2010-11-16	n/a	2011-05-05
wgEncodeBroadHistoneGm12878H2azStdAlnRep2	Broad	2010-11-16	n/a	2011-05-05
wgEncodeBroadHistoneGm12878H2azStdPk	Broad	2010-11-16	n/a	2011-05-05
wgEncodeBroadHistoneGm12878H2azStdRawDataRep1	Broad	2010-11-16	n/a	2011-05-05
wgEncodeBroadHistoneGm12878H2azStdRawDataRep2	Broad	2010-11-16	n/a	2011-05-05
wgEncodeBroadHistoneGm12878H2azStdSig	Broad	2010-11-16	n/a	2011-05-05
