wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongnonpolya	Affy	2009-06-12	n/a	2010-03-12
wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongpolya	Affy	2009-06-12	n/a	2010-03-12
wgEncodeAffyRnaChipTransfragsProstateCellLongnonpolya	Affy	2008-11-24	n/a	2009-08-24
wgEncodeAffyRnaChipTransfragsProstateCellLongpolya	Affy	2008-11-24	n/a	2009-08-24
wgEncodeAwgDnaseDuke8988tUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeAosmcUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeChorionUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeCllUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeFibroblUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeFibropUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGlioblaUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGm12891UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGm12892UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGm18507UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGm19238UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGm19239UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeGm19240UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeH9esUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHelas3ifna4hUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHepatocytesUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHpde6e6e7UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHsmmembUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHtr8svnUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHuh75UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeHuh7UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeIpsUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeIshikawaestradiolUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeIshikawatamoxifenUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeLncapandrogenUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeMcf7hypoxiaUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeMedulloUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeMelanoUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeMyometrUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeOsteoblUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukePanisletdUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukePanisletsUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukePhteUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeProgfibUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeRwpe1UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeStellateUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeT47dUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeTh0UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseDukeUrotheliaUniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseDukeUrotheliaut189UniPk	Duke	n/a	n/a	n/a
wgEncodeAwgDnaseUniform	n/a	n/a	n/a	n/a
wgEncodeAwgDnaseUwAg04449UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwAg04450UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwAg09309UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwAg09319UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwAg10803UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwAoafUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwBe2cUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwBjUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwCaco2UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwCd20UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwCd34mobilizedUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwCmkUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwGm06990UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwGm12864UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwGm12865UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwH7hescUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHacUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHaepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHahUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHaspUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHbmecUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHcfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHcfaaUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHcmUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHconfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHcpepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHct116UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHeepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHffUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHffmycUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHgfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHipepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHl60UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecdadUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecdbladUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecdblneoUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecdlyadUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecdlyneoUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecdneoUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmveclblUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHmvecllyUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHnpcepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHpaecUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHpafUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHpdlfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHpfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHrcepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHreUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHrgecUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHrpepicUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwHvmfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwJurkatUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwMonocytescd14ro01746UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwNb4UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwNhaUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwNhdfadUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwNhdfneoUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwNhlfUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwNt2d1UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwPanc1UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwPrecUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwRptecUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwSaecUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwSkmcUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwSknmcUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwSknshraUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwTh2UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwWerirb1UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwWi38UniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwWi38tamoxifentamoxifenUniPk	UW	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeA549UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeGm12878UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeH1hescUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeHelas3UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeHepg2UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeHmecUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeHsmmUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeHsmmtubeUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeHuvecUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeK562UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeLncapUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeMcf7UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeNhekUniPk	AWG	n/a	n/a	n/a
wgEncodeAwgDnaseUwdukeTh1UniPk	AWG	n/a	n/a	n/a
wgEncodeAwgTfbsBroadDnd41CtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadH1hescEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHelas3CtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHepg2CtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHmecCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHmecEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHsmmEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	Broad	n/a	n/a	n/a
