SRR1070358 GTEX-XYKS-0526-SM-4BRW2	female	Lung
SRR1070382 GTEX-XBED-1226-SM-4AT5V	male	Stomach
SRR1070403 GTEX-WFON-0626-SM-4LVLX	male	Pancreas
SRR1070429 GTEX-Q2AG-1226-SM-4GICA	female	Esophagus - Muscularis
SRR1070455 GTEX-W5X1-0008-SM-4LMKA	female	Cells - Transformed fibroblasts
SRR1070479 GTEX-R55C-1426-SM-48FED	male	Testis
SRR1070503 GTEX-XAJ8-0926-SM-47JXZ	male	Adipose - Subcutaneous
SRR1070525 GTEX-QVJO-0008-SM-447AU	female	Cells - Transformed fibroblasts
SRR1070549 GTEX-PWOO-1226-SM-48TCO	female	Stomach
SRR1070573 K-562-SM-4BRWK	female	Cells - Leukemia cell line (CML)
SRR1070597 GTEX-UPJH-0626-SM-4IHJN	male	Nerve - Tibial
SRR1070620 GTEX-XBEW-1326-SM-4AT63	male	Esophagus - Mucosa
SRR1070641 GTEX-T6MN-1126-SM-4DM71	male	Artery - Aorta
SRR1070665 GTEX-SE5C-1226-SM-4BRWV	female	Esophagus - Mucosa
SRR1070689 GTEX-RN64-1826-SM-48FDV	male	Liver
SRR1070713 GTEX-XYKS-1826-SM-4E3JV	female	Adipose - Visceral (Omentum)
SRR1070738 GTEX-RUSQ-2026-SM-4GIAK	male	Breast - Mammary Tissue
SRR1070764 GTEX-XYKS-1226-SM-4BRVI	female	Pancreas
SRR1070789 GTEX-SE5C-1126-SM-4BRWZ	female	Vagina
SRR1070813 GTEX-XQ3S-0006-SM-4BOQ4	male	Whole Blood
SRR1070841 GTEX-XBED-2226-SM-47JYQ	male	Skin - Sun Exposed (Lower leg)
SRR1070863 GTEX-XBEW-0126-SM-4AT66	male	Thyroid
SRR1070884 GTEX-Q2AH-1126-SM-48TZM	male	Stomach
SRR1070888 GTEX-XOT4-0626-SM-4B66L	female	Skin - Not Sun Exposed (Suprapubic)
SRR1070913 GTEX-QDVN-0426-SM-48TZ6	male	Adrenal Gland
SRR1070937 GTEX-UJHI-0008-SM-4IHL1	female	Cells - Transformed fibroblasts
SRR1070960 GTEX-XUJ4-0726-SM-4BOOP	female	Thyroid
SRR1070986 GTEX-WZTO-0011-R6B-SM-4E3J6	male	Brain - Nucleus accumbens (basal ganglia)
SRR1071011 GTEX-RU1J-0426-SM-46MUK	female	Esophagus - Muscularis
SRR1071035 GTEX-XYKS-2126-SM-4E3IB	female	Skin - Sun Exposed (Lower leg)
SRR1071060 GTEX-REY6-1426-SM-48FDK	male	Esophagus - Muscularis
SRR1071084 GTEX-S7SE-0826-SM-4AT4D	male	Breast - Mammary Tissue
SRR1071105 GTEX-WFJO-2026-SM-4LVM3	male	Minor Salivary Gland
SRR1071131 GTEX-XQ8I-1826-SM-4BOOJ	male	Esophagus - Gastroesophageal Junction
