GCA_018471345.2_HG01106_mat_hprc_f2	human (HG01106 mat 2024)
GCA_018471075.2_HG01106_pat_hprc_f2	human (HG01106 pat 2024)
GCA_018504365.2_HG01109_mat_hprc_f2	human (HG01109 mat 2024)
GCA_018504645.2_HG01109_pat_hprc_f2	human (HG01109 pat 2024)
GCA_018469665.2_HG01123_mat_hprc_f2	human (HG01123 mat 2024)
GCA_018469695.2_HG01123_pat_hprc_f2	human (HG01123 pat 2024)
GCA_042037355.1_HG01150_mat_hprc_f2	human (HG01150 mat 2024)
GCA_042037855.1_HG01150_pat_hprc_f2	human (HG01150 pat 2024)
GCA_044167135.1_HG01167_hap1_hprc_f2	human (HG01167 hap1 2024)
GCA_044166785.1_HG01167_hap2_hprc_f2	human (HG01167 hap2 2024)
GCA_018471085.2_HG01175_mat_hprc_f2	human (HG01175 mat 2024)
GCA_018471065.2_HG01175_pat_hprc_f2	human (HG01175 pat 2024)
GCA_041900275.1_HG01192_mat_hprc_rel2	human (HG01192 mat 2024)
GCA_041900145.1_HG01192_pat_hprc_rel2	human (HG01192 pat 2024)
GCA_018504375.2_HG01243_mat_hprc_f2	human (HG01243 mat 2024)
GCA_018504045.2_HG01243_pat_hprc_f2	human (HG01243 pat 2024)
GCA_042038095.1_HG01252_mat_hprc_f2	human (HG01252 mat 2024)
GCA_042038865.1_HG01252_pat_hprc_f2	human (HG01252 pat 2024)
GCA_042028895.1_HG01255_mat_hprc_f2	human (HG01255 mat 2024)
GCA_042029915.1_HG01255_pat_hprc_f2	human (HG01255 pat 2024)
GCA_018469405.2_HG01258_mat_hprc_f2	human (HG01258 mat 2024)
GCA_018469675.2_HG01258_pat_hprc_f2	human (HG01258 pat 2024)
GCA_041899995.1_HG01261_mat_hprc_rel2	human (HG01261 mat 2024)
GCA_041900235.1_HG01261_pat_hprc_rel2	human (HG01261 pat 2024)
GCA_042028165.1_HG01346_mat_hprc_f2	human (HG01346 mat 2024)
GCA_042028795.1_HG01346_pat_hprc_f2	human (HG01346 pat 2024)
GCA_018469865.2_HG01358_mat_hprc_f2	human (HG01358 mat 2024)
GCA_018469965.2_HG01358_pat_hprc_f2	human (HG01358 pat 2024)
GCA_018469685.2_HG01361_mat_hprc_f2	human (HG01361 mat 2024)
GCA_018469705.2_HG01361_pat_hprc_f2	human (HG01361 pat 2024)
GCA_042027645.1_HG01433_mat_hprc_f2	human (HG01433 mat 2024)
GCA_042028645.1_HG01433_pat_hprc_f2	human (HG01433 pat 2024)
GCA_042027145.1_HG01496_mat_hprc_f2	human (HG01496 mat 2024)
GCA_042027595.1_HG01496_pat_hprc_f2	human (HG01496 pat 2024)
GCA_042034285.1_HG01530_hap1_hprc_f2	human (HG01530 hap1 2024)
GCA_042034145.1_HG01530_hap2_hprc_f2	human (HG01530 hap2 2024)
GCA_042034305.1_HG01784_hap1_hprc_f2	human (HG01784 hap1 2024)
GCA_042034175.1_HG01784_hap2_hprc_f2	human (HG01784 hap2 2024)
GCA_042076995.1_HG01786_hap1_hprc_f2	human (HG01786 hap1 2024)
GCA_042076735.1_HG01786_hap2_hprc_f2	human (HG01786 hap2 2024)
GCA_042027665.1_HG01884_mat_hprc_f2	human (HG01884 mat 2024)
GCA_042028275.1_HG01884_pat_hprc_f2	human (HG01884 pat 2024)
GCA_018467155.2_HG01891_mat_hprc_f2	human (HG01891 mat 2024)
GCA_018467165.2_HG01891_pat_hprc_f2	human (HG01891 pat 2024)
GCA_018472695.2_HG01928_mat_hprc_f2	human (HG01928 mat 2024)
GCA_018472705.2_HG01928_pat_hprc_f2	human (HG01928 pat 2024)
GCA_042038345.1_HG01934_mat_hprc_f2	human (HG01934 mat 2024)
GCA_042038875.1_HG01934_pat_hprc_f2	human (HG01934 pat 2024)
GCA_042037435.1_HG01940_mat_hprc_f2	human (HG01940 mat 2024)
GCA_042037875.1_HG01940_pat_hprc_f2	human (HG01940 pat 2024)
GCA_042076535.1_HG01943_mat_hprc_f2	human (HG01943 mat 2024)
GCA_042076525.1_HG01943_pat_hprc_f2	human (HG01943 pat 2024)
GCA_018471545.2_HG01952_mat_hprc_f2	human (HG01952 mat 2024)
GCA_018471555.2_HG01952_pat_hprc_f2	human (HG01952 pat 2024)
GCA_042037445.1_HG01960_mat_hprc_f2	human (HG01960 mat 2024)
GCA_042037895.1_HG01960_pat_hprc_f2	human (HG01960 pat 2024)
GCA_042037555.1_HG01969_mat_hprc_f2	human (HG01969 mat 2024)
GCA_042037885.1_HG01969_pat_hprc_f2	human (HG01969 pat 2024)
GCA_045999905.1_HG01975_mat_hprc_f2	human (HG01975 mat 2024)
GCA_046000135.1_HG01975_pat_hprc_f2	human (HG01975 pat 2024)
GCA_018472845.2_HG01978_mat_hprc_f2	human (HG01978 mat 2024)
GCA_018472865.2_HG01978_pat_hprc_f2	human (HG01978 pat 2024)
GCA_042027065.1_HG01981_mat_hprc_f2	human (HG01981 mat 2024)
GCA_042027505.1_HG01981_pat_hprc_f2	human (HG01981 pat 2024)
GCA_042027655.1_HG01993_mat_hprc_f2	human (HG01993 mat 2024)
GCA_042028705.1_HG01993_pat_hprc_f2	human (HG01993 pat 2024)
GCA_042027105.1_HG02004_mat_hprc_f2	human (HG02004 mat 2024)
GCA_042027455.1_HG02004_pat_hprc_f2	human (HG02004 pat 2024)
GCA_041900105.1_HG02015_mat_hprc_rel2	human (HG02015 mat 2024)
GCA_041900165.1_HG02015_pat_hprc_rel2	human (HG02015 pat 2024)
GCA_042030185.1_HG02027_mat_hprc_f2	human (HG02027 mat 2024)
GCA_042030215.1_HG02027_pat_hprc_f2	human (HG02027 pat 2024)
GCA_042032555.1_HG02040_hap1_hprc_f2	human (HG02040 hap1 2024)
GCA_042031805.1_HG02040_hap2_hprc_f2	human (HG02040 hap2 2024)
GCA_018506125.2_HG02055_mat_hprc_f2	human (HG02055 mat 2024)
GCA_018505855.2_HG02055_pat_hprc_f2	human (HG02055 pat 2024)
GCA_041900015.1_HG02056_mat_hprc_rel2	human (HG02056 mat 2024)
GCA_041900085.1_HG02056_pat_hprc_rel2	human (HG02056 pat 2024)
GCA_042036105.1_HG02071_mat_hprc_f2	human (HG02071 mat 2024)
GCA_042036435.1_HG02071_pat_hprc_f2	human (HG02071 pat 2024)
GCA_042036205.1_HG02074_mat_hprc_f2	human (HG02074 mat 2024)
GCA_042036445.1_HG02074_pat_hprc_f2	human (HG02074 pat 2024)
GCA_018504085.2_HG02080_mat_hprc_f2	human (HG02080 mat 2024)
GCA_018504055.2_HG02080_pat_hprc_f2	human (HG02080 pat 2024)
GCA_042030175.1_HG02083_mat_hprc_f2	human (HG02083 mat 2024)
GCA_042030135.1_HG02083_pat_hprc_f2	human (HG02083 pat 2024)
GCA_018505825.2_HG02109_mat_hprc_f2	human (HG02109 mat 2024)
GCA_018505865.2_HG02109_pat_hprc_f2	human (HG02109 pat 2024)
GCA_041900385.1_HG02129_mat_hprc_rel2	human (HG02129 mat 2024)
GCA_041899985.1_HG02129_pat_hprc_rel2	human (HG02129 pat 2024)
GCA_042029645.1_HG02132_mat_hprc_f2	human (HG02132 mat 2024)
GCA_042030125.1_HG02132_pat_hprc_f2	human (HG02132 pat 2024)
GCA_042036245.1_HG02135_mat_hprc_f2	human (HG02135 mat 2024)
GCA_042036495.1_HG02135_pat_hprc_f2	human (HG02135 pat 2024)
GCA_018852585.2_HG02145_mat_hprc_f2	human (HG02145 mat 2024)
GCA_018852595.2_HG02145_pat_hprc_f2	human (HG02145 pat 2024)
GCA_018471535.2_HG02148_mat_hprc_f2	human (HG02148 mat 2024)
GCA_018471525.2_HG02148_pat_hprc_f2	human (HG02148 pat 2024)
GCA_043304525.1_HG02155_hap1_hprc_f2	human (HG02155 hap1 2024)
GCA_043304655.1_HG02155_hap2_hprc_f2	human (HG02155 hap2 2024)
GCA_042032565.1_HG02165_hap1_hprc_f2	human (HG02165 hap1 2024)
GCA_042032115.1_HG02165_hap2_hprc_f2	human (HG02165 hap2 2024)
GCA_042077705.1_HG02178_hap1_hprc_f2	human (HG02178 hap1 2024)
GCA_042077755.1_HG02178_hap2_hprc_f2	human (HG02178 hap2 2024)
GCA_018466835.2_HG02257_mat_hprc_f2	human (HG02257 mat 2024)
GCA_018466845.2_HG02257_pat_hprc_f2	human (HG02257 pat 2024)
GCA_041900135.1_HG02258_mat_hprc_rel2	human (HG02258 mat 2024)
GCA_041899975.1_HG02258_pat_hprc_rel2	human (HG02258 pat 2024)
GCA_042031155.1_HG02273_hap1_hprc_f2	human (HG02273 hap1 2024)
