accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX4626054	Sperm	NA	sperm	sperm	SRP159181	SRS3727588	0.991	0.745	15.165	0.843	0.733	0.988	3013.72	63020	34809.92	6742
SRX4626055	Sperm	NA	sperm	sperm	SRP159181	SRS3727589	0.992	0.747	23.911	0.793	0.671	0.989	2832.42	62961	29622.42	6462
SRX4626056	Sperm	NA	sperm	sperm	SRP159181	SRS3727590	0.990	0.706	14.675	0.723	0.743	0.988	2646.03	57630	28811.3	6480
SRX4626057	Sperm	NA	sperm	sperm	SRP159181	SRS3727591	0.992	0.728	20.180	0.752	0.693	0.989	3110.1	63695	33925.1	6862
SRX4626058	Sperm	NA	sperm	sperm	SRP159181	SRS3727592	0.990	0.738	16.997	0.769	0.741	0.988	2584.58	58424	29328.7	6205
SRX4626059	Sperm	NA	sperm	sperm	SRP159181	SRS3727593	0.992	0.736	25.999	0.733	0.660	0.989	2771.54	62733	28863.36	6511
SRX4626060	Sperm	NA	sperm	sperm	SRP159181	SRS3727594	0.992	0.704	20.733	0.692	0.688	0.989	3015.69	64268	34105.15	6451
SRX4626061	Sperm	NA	sperm	sperm	SRP159181	SRS3727596	0.992	0.704	23.293	0.670	0.679	0.989	2795.26	64348	30491.79	6298
SRX4626062	Sperm	NA	sperm	sperm	SRP159181	SRS3727595	0.992	0.714	21.886	0.776	0.695	0.989	3484.63	72892	33887.23	8098
SRX4626063	Sperm	NA	sperm	sperm	SRP159181	SRS3727597	0.991	0.740	16.048	0.836	0.739	0.988	3075.43	63387	32081.18	7074
SRX4626064	Sperm	NA	sperm	sperm	SRP159181	SRS3727598	0.991	0.743	13.532	0.821	0.751	0.987	2873.87	56517	28833.23	6967
SRX4626065	Sperm	NA	sperm	sperm	SRP159181	SRS3727599	0.992	0.707	20.194	0.709	0.667	0.989	3154.49	63103	33969.69	6620
SRX4740240	Sperm	NA	Sperm	NA	SRP162610	SRS3821694	0.997	0.671	11.035	0.784	0.728	0.983	1261.71	33317	23694.19	3622
SRX4740241	Sperm	NA	Sperm	NA	SRP162610	SRS3821697	0.997	0.744	9.640	0.809	0.703	0.950	1265.61	34298	26578.28	4286
SRX4740242	Sperm	NA	Sperm	NA	SRP162610	SRS3821695	0.997	0.724	6.544	0.782	0.746	0.939	1488.08	37700	40047.38	2603
SRX4740243	Sperm	NA	Sperm	NA	SRP162610	SRS3821696	0.997	0.758	8.726	0.830	0.722	0.915	2816.93	51349	29758.57	6643
SRX4934397	Sperm	Sperm	NA	Sperm	SRP166801	SRS3978785	0.985	0.608	5.978	0.309	0.716	0.891	2148.64	43686	100378.64	983
SRX4934398	Sperm	Sperm	NA	Sperm	SRP166801	SRS3978786	0.985	0.618	7.824	0.313	0.709	0.924	2184.17	44730	82844.83	1307
SRX4934399	Sperm	Sperm	NA	Sperm	SRP166801	SRS3978787	0.984	0.579	4.327	0.318	0.764	0.827	2112.93	42315	136066.25	761
