GCA_011004875.1_bBalReg1.pri	East African grey crowned-crane (bBalReg1 2020)
GCF_029582105.1_OMel1.0	Eastern black-eared wheatear (GR-GAL-2019-014 2023)
GCF_000699145.1_ASM69914v1	emperor penguin
GCA_016128335.2_ZJU2.0	emu (v2 ZJU1.0 2023)
GCF_003342905.1_droNov1	emu (2018)
GCA_907165095.1_bCapEur3.1_alternate_haplotype	Eurasian nightjar (alternate hap 2021)
GCA_907165065.1_bCapEur3.1	Eurasian nightjar (primary hap 2021)
GCF_014805655.1_ASM1480565v1	Eurasian tree sparrow
GCA_017639475.1_bPluApr1.alt	Eurpoean golden plover (bPluApr1 alternate hap 2021)
GCA_017639485.1_bPluApr1.pri	European golden plover (bPluApr1 primary hap 2021)
GCA_903797565.2_bEriRub2.2_alternate_haplotype	European robin (alternate hap 2021)
GCA_903797595.2_bEriRub2.2	European robin (primary hap 2021)
GCA_949628205.1_bGulAri2.1_alternate_haplotype	European shag (alternate hap 2023)
GCA_949628215.1_bGulAri2.1	European shag (primary hap 2023)
GCA_901699165.2_bStrTur1.2_alternate_haplotype	European turtle dove (v1.2 alternate hap 2021)
GCA_901699155.2_bStrTur1.2	European turtle dove (v1.2 2021)
GCA_014839765.1_bSylBor1.alt	garden warbler (bSylBor1 alternate hap 2020)
GCA_014839755.1_bSylBor1.pri	garden warbler (bSylBor1 primary hap 2020)
GCF_001715985.3_ASM171598v3	golden-collared manakin
GCA_902153765.2_bAquChr1.4_alternate_haplotype	golden eagle (v1.4 alternate hap 2021)
GCF_900496995.4_bAquChr1.4	golden eagle (v1.4 2021)
GCA_003413605.1_Chrysolophus_pictus_GenomeV1.0	golden pheasant
GCF_000708925.1_ASM70892v1	great cormorant
GCA_013368595.1_bNycGra1.alt	great potoo (bNycGra1 alternate hap 2020)
GCA_013368605.1_bNycGra1.pri	great potoo (bNycGra1 primary hap 2020)
GCF_001522545.3_Parus_major1.1	great tit
GCF_027791375.1_UM_Iind_1.1	greater honeyguide (239-I01 2023)
GCA_001870855.1_T_cupido_pinnatus_GPC_3440_v1	greater prairie chicken
GCA_003343005.1_rheAme1	greater rhea
GCF_019232065.1_USGS_Curo_1.0	greater sage-grouse
GCA_016647715.1_ASM1664771v1	green peafowl
GCA_009867235.1_ASM986723v1	grey parrot (MU2MI4XJKV 2020)
GCF_028554395.1_APGP_CSIRO_Pwel_v1	ground parrot (Strahan ANWC-B61680 2023)
GCA_015220155.1_bFalRus1.alt	gyrfalcon (bFalRus1 alternate hap 2020)
GCF_015220075.1_bFalRus1.pri	gyrfalcon (bFalRus1 primary hap 2020)
GCA_026419925.1_bHarHar1	Harpy eagle (bHarHar1 alternate hap 2022)
GCF_026419915.1_bHarHar1_primary_haplotype	Harpy eagle (bHarHar1 primary hap 2022)
GCA_020740675.1_bCorHaw1.alt.cur	Hawaiian crow (bCorHaw1 alternate hap 2021)
GCF_020740725.1_bCorHaw1.pri.cur	Hawaiian crow (bCorHaw1 primary hap 2021 refseq)
GCF_002078875.1_NumMel1.0	helmeted guineafowl
GCF_000692075.1_ASM69207v1	hoatzin (BGI_N306 2014)
GCA_030867145.1_bOpiHoa1.hap1	hoatzin (hap1 2023)
GCA_030867165.1_bOpiHoa1.hap2	hoatzin (hap2 2023)
GCF_000738735.6_ASM73873v6	hooded crow (v6 S_Up_H32 2022)
GCA_027406555.1_bHaeMex1.alt	house finch (bHaeMex1 alternate hap 2022)
GCF_027477595.1_bHaeMex1.pri	house finch (bHaeMex1 primary hap 2022 refseq)
GCA_027474345.1_bSphHub1.alt	Humboldt's penguin (bSphHub1 alternate hap 2022)
GCA_027474245.1_bSphHub1.pri	Humboldt's penguin (bSphHub1 primary hap 2022)
GCA_009936445.2_ASM993644v2	hyacinth macaw (LEKZKR9XQ3 2022)
GCA_013407035.1_ASM1340703v1	jackdaw
GCF_001577835.2_Coturnix_japonica_2.1	Japanese quail
GCA_027595965.1_bRhyJub1.alt	kagu (bRhyJub1 alternate hap 2023)
GCA_027574665.1_bRhyJub1.pri	kagu (bRhyJub1 primary hap 2023)
GCA_004011185.1_bStrHab1_v1.h	kakapo (Jane alternate hap 2019)
GCF_004027225.2_bStrHab1.2.pri	kakapo (Jane v2 2020 refseq)
GCF_000696875.1_ASM69687v1	kea
GCF_000708025.1_ASM70802v2	killdeer
GCA_028017155.1_bGypBar2.alt	lammergeier (bGypBar2 alternate hap 2023)
GCA_028022735.1_bGypBar2.pri	lammergeier (bGypBar2 primary hap 2023)
GCF_009829145.1_bChiLan1.pri	lance-tailed manakin (2020)
GCA_009829205.1_bChiLan1.alt	lance-tailed manakin (alternate hap 2020)
GCA_023634305.1_bFalBia1.alt	lanner falcon (bFalBia1 alternate hap 2022)
GCF_023638135.1_bFalBia1.pri	lanner falcon (bFalBia1 primary hap 2022 refseq)
GCA_017639645.1_bFalNau1.mat	lesser kestrel (alternate hap 2021)
GCF_017639655.2_bFalNau1.pat	lesser kestrel (v2 2021)
GCF_026119805.1_pur_lepc_1.0	lesser prairie-chicken (F22 2022)
GCA_028389885.1_bPtePen1.alt	lesser rhea (bPtePen1 alternate hap 2023)
GCA_028389875.1_bPtePen1.pri	lesser rhea (bPtePen1 primary hap 2023)
