accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX10468791	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599086	0.980	0.705	10.276	0.863	0.698	0.986	1542.01	51157	48652.59	1391
SRX10468793	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599088	0.974	0.698	9.694	0.860	0.708	0.987	1651.71	42241	42507.65	1723
SRX10468794	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599089	0.977	0.751	9.495	0.851	0.708	0.985	1566.26	43280	45559.93	1446
SRX10468795	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599090	0.980	0.727	13.669	0.849	0.687	0.989	1408.35	59358	26191.2	2639
SRX10468796	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599091	0.974	0.726	9.342	0.854	0.710	0.985	1587.08	41270	47182.83	1404
SRX10468797	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599092	0.976	0.738	9.345	0.848	0.690	0.985	1638.25	41544	46789.69	1468
SRX10468798	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599093	0.980	0.736	8.698	0.850	0.715	0.981	1614.25	49096	47292.39	1433
SRX10468799	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599096	0.974	0.738	8.948	0.856	0.706	0.981	1778.83	41296	44413.31	1653
SRX10468800	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599094	0.979	0.752	8.848	0.850	0.706	0.981	1675.27	42967	53280.74	1214
SRX10468801	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599095	0.980	0.726	9.782	0.843	0.697	0.985	1545.44	50021	46099.32	1457
SRX10468802	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599097	0.974	0.736	11.124	0.853	0.669	0.986	1661.98	42208	26087.91	2763
SRX10468803	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599098	0.977	0.751	8.130	0.857	0.704	0.981	1733.21	42055	47027.33	1462
SRX10468804	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599099	0.979	0.736	9.090	0.855	0.709	0.983	1612.83	49590	47503.34	1419
SRX10468805	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599100	0.975	0.731	9.103	0.845	0.702	0.985	1724.78	42385	42308.07	1746
SRX10468806	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599101	0.978	0.751	9.279	0.855	0.709	0.985	1568.38	45453	44903.33	1476
SRX10468807	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599102	0.979	0.735	9.029	0.848	0.699	0.984	1532.22	51268	43987.8	1467
SRX10468808	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599103	0.975	0.738	7.669	0.857	0.709	0.978	1732.99	40566	42649.43	1565
SRX10468809	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599104	0.977	0.730	10.775	0.873	0.688	0.986	1608.04	44935	29580.45	2338
SRX10468810	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599105	0.980	0.704	10.021	0.866	0.646	0.985	1575.17	50294	44817.45	1606
SRX10468811	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599106	0.975	0.719	9.114	0.872	0.696	0.982	1678.54	40131	45920.25	1542
SRX10468812	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599107	0.977	0.746	8.001	0.861	0.730	0.982	1731.2	42742	47765.69	1485
SRX10468813	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599108	0.980	0.728	7.731	0.848	0.717	0.981	1635.15	47799	47692.64	1440
SRX10468814	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599110	0.974	0.730	8.531	0.854	0.697	0.982	1763.54	40839	46298.09	1538
SRX10468815	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599109	0.978	0.746	9.959	0.854	0.703	0.986	1559.66	45184	29376.78	2304
SRX10468816	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599111	0.980	0.731	7.274	0.852	0.717	0.979	1648.85	47767	46721.49	1487
SRX10468817	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599112	0.974	0.741	8.692	0.861	0.684	0.980	1752.29	40707	45028.89	1612
SRX10468818	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599113	0.979	0.739	9.253	0.854	0.693	0.986	1569.09	47465	50610.39	1353
SRX10468819	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599114	0.981	0.728	8.259	0.855	0.719	0.982	1587.29	50083	44013.09	1552
SRX10468820	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599115	0.974	0.729	7.612	0.857	0.712	0.982	1711.33	40624	42831.79	1626
SRX10468821	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599116	0.979	0.741	9.298	0.860	0.692	0.986	1546.96	44886	47116.5	1343
SRX10468822	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599117	0.979	0.736	8.428	0.854	0.712	0.984	1551.42	47394	42692.75	1525
SRX10468823	Cortex	NA	NA	Prefrontal_Cortex	SRP312597	SRS8599118	0.974	0.732	8.905	0.854	0.694	0.985	1626.21	40189	42219.0	1574
SRX10468824	Hypothalamus	NA	NA	Hypothalamus	SRP312597	SRS8599119	0.979	0.755	7.930	0.867	0.710	0.981	1585.95	43691	43920.57	1491
SRX10468825	Hippocampus	NA	NA	Hippocampus	SRP312597	SRS8599120	0.980	0.746	8.936	0.871	0.706	0.983	1500.03	51597	42183.51	1606
SRX10614838	Blast	NA	NA	Fibroblast	SRP286979	SRS8712643	0.997	0.629	15.213	0.878	0.470	0.982	5653.37	83404	309767.43	2901
SRX10614839	Blast	NA	NA	Fibroblast	SRP286979	SRS8712644	0.997	0.649	13.944	0.873	0.461	0.981	4593.47	77905	327507.72	2541
SRX110327	PBMC	peripheral blood mononuclear cells	NA	PBMC_high ranking individual	SRP009594	SRS281646	0.993	0.730	14.765	0.764	0.908	0.952	1041.53	42072	7403.82	2509
SRX110328	PBMC	peripheral blood mononuclear cells	NA	PBMC_low ranking individual	SRP009594	SRS281647	0.991	0.744	17.256	0.778	0.908	0.953	978.93	46866	7696.2	2723
SRX110329	PBMC	peripheral blood mononuclear cells	NA	PBMC_low ranking individual	SRP009594	SRS281648	0.992	0.733	15.957	0.819	0.837	0.950	983.58	47804	7069.69	2533
SRX110330	PBMC	peripheral blood mononuclear cells	NA	PBMC_high ranking individual	SRP009594	SRS281649	0.993	0.728	13.949	0.809	0.873	0.948	1069.73	41705	7598.9	2139
SRX110331	PBMC	peripheral blood mononuclear cells	NA	PBMC_low ranking individual	SRP009594	SRS281650	0.993	0.736	16.725	0.810	0.856	0.948	964.05	49086	7028.2	2882
SRX110332	PBMC	peripheral blood mononuclear cells	NA	PBMC_high ranking individual	SRP009594	SRS281651	0.993	0.727	13.266	0.776	0.893	0.948	1049.8	43092	7691.0	2182
SRX1541669	Brain	NA	Brain	Prefrontal Cortex	SRP068766	SRS1258190	0.981	0.786	6.403	0.855	0.316	0.939	1618.67	36576	41611.26	1614
SRX1541670	Brain	NA	Brain	Prefrontal Cortex	SRP068766	SRS1258189	0.983	0.786	8.560	0.837	0.655	0.956	1562.28	41224	27575.9	2544
SRX16968777	Thymus	NA	Thymus	NA	SRP390347	SRS14555925	0.997	0.732	20.861	0.816	0.725	0.960	1186.63	42404	21319.84	2089
SRX16968778	Thymus	NA	Thymus	NA	SRP390347	SRS14555924	0.994	0.776	21.665	0.842	0.681	0.990	959.29	53746	14879.64	2467
SRX16968779	Thymus	NA	Thymus	NA	SRP390347	SRS14555926	0.997	0.724	19.995	0.832	0.722	0.942	1375.67	41395	20113.22	2781
SRX16968780	Thymus	NA	Thymus	NA	SRP390347	SRS14555927	0.993	0.711	22.144	0.836	0.609	0.991	1347.9	51327	26049.85	2109
SRX18115409	Liver	NA	liver	NA	SRP405758	SRS15617740	0.997	0.653	16.840	0.830	0.498	0.981	1358.79	36637	254977.91	2710
SRX18115410	Skeletal Muscle	NA	skeleton muscle	NA	SRP405758	SRS15617741	0.996	0.655	15.682	0.812	0.459	0.958	1373.16	40840	53818.51	873
SRX18540914	Sperm	NA	sperm	NA	SRP412039	SRS16005299	0.993	0.745	16.083	0.823	0.368	0.985	1592.51	84461	13254.36	6052
SRX18540915	Sperm	NA	sperm	NA	SRP412039	SRS16005300	0.993	0.748	12.199	0.817	0.421	0.981	1632.42	77729	36380.05	1589
SRX18540916	Sperm	NA	sperm	NA	SRP412039	SRS16005301	0.993	0.759	14.485	0.820	0.366	0.986	1599.19	76259	12478.86	6169
SRX18540917	Sperm	NA	sperm	NA	SRP412039	SRS16005302	0.993	0.763	15.184	0.815	0.440	0.986	1518.86	80343	11901.9	5968
SRX18540918	Sperm	NA	sperm	NA	SRP412039	SRS16005303	0.993	0.757	14.738	0.815	0.438	0.985	1492.58	79890	12142.65	5689
SRX18540919	Sperm	NA	sperm	NA	SRP412039	SRS16005304	0.993	0.759	15.339	0.815	0.431	0.984	1604.07	74825	13708.47	5932
SRX18540920	Sperm	NA	sperm	NA	SRP412039	SRS16005305	0.991	0.778	10.864	0.780	0.375	0.956	1541.82	76982	30716.74	1666
SRX18540921	Sperm	NA	sperm	NA	SRP412039	SRS16005306	0.993	0.756	13.256	0.823	0.454	0.983	1658.95	73990	39833.96	1505
SRX18540922	Sperm	NA	sperm	NA	SRP412039	SRS16005307	0.993	0.763	15.791	0.808	0.398	0.987	1649.36	77642	13152.44	6224
SRX18540923	Sperm	NA	sperm	NA	SRP412039	SRS16005308	0.993	0.761	16.916	0.814	0.453	0.987	1643.95	78758	13477.39	6019
SRX18540924	Sperm	NA	sperm	NA	SRP412039	SRS16005309	0.993	0.768	15.753	0.803	0.451	0.987	1652.14	77209	14478.13	5430
SRX18540925	Sperm	NA	sperm	NA	SRP412039	SRS16005310	0.993	0.766	14.134	0.805	0.473	0.986	1671.91	77426	14958.45	5717
SRX18540926	Sperm	NA	sperm	NA	SRP412039	SRS16005311	0.994	0.755	14.142	0.817	0.417	0.985	1610.71	81195	13677.69	5763
SRX18540927	Sperm	NA	sperm	NA	SRP412039	SRS16005312	0.993	0.759	16.038	0.821	0.432	0.987	1648.85	80024	14558.26	5914
SRX18540928	Sperm	NA	sperm	NA	SRP412039	SRS16005313	0.993	0.757	14.525	0.818	0.465	0.985	1644.15	77814	13744.98	6316
SRX18540929	Sperm	NA	sperm	NA	SRP412039	SRS16005314	0.993	0.757	14.069	0.816	0.459	0.984	1641.97	76756	15056.1	5449
SRX18540930	Sperm	NA	sperm	NA	SRP412039	SRS16005315	0.993	0.762	14.065	0.809	0.389	0.984	1627.5	72638	13717.15	5942
SRX18540931	Sperm	NA	sperm	NA	SRP412039	SRS16005316	0.993	0.753	15.452	0.814	0.385	0.981	1604.04	74580	38957.44	1623
SRX18540932	Sperm	NA	sperm	NA	SRP412039	SRS16005317	0.992	0.762	12.330	0.805	0.332	0.972	1639.14	70764	39328.13	1573
SRX18540933	Sperm	NA	sperm	NA	SRP412039	SRS16005318	0.992	0.745	9.928	0.797	0.363	0.958	1642.59	70059	49737.51	1223
SRX18540934	Sperm	NA	sperm	NA	SRP412039	SRS16005319	0.993	0.753	16.807	0.815	0.390	0.985	1593.8	78698	13073.12	5875
SRX18540935	Sperm	NA	sperm	NA	SRP412039	SRS16005320	0.993	0.754	14.255	0.818	0.390	0.985	1597.8	75706	12115.78	6477
SRX18540936	Sperm	NA	sperm	NA	SRP412039	SRS16005321	0.993	0.759	13.812	0.823	0.405	0.985	1595.7	75475	11982.72	6564
SRX19038215	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455725	0.930	0.460	13.522	0.473	0.869	0.978	15096.26	46506	499391.44	2497
SRX19038219	Placenta	placenta cell	placenta	placenta	SRP417565	SRS16455729	0.930	0.477	15.375	0.461	0.873	0.982	14704.85	52160	394428.05	3092
SRX32891222	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738910	0.984	0.572	4.449	0.846	0.431	0.948	10271.12	46258	587796.75	1608
SRX32891223	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738911	0.985	0.593	4.020	0.848	0.447	0.934	6773.51	44229	647004.95	1331
SRX32891224	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738912	0.984	0.612	3.193	0.838	0.478	0.902	6456.09	40882	712568.05	1136
SRX32891225	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738913	0.984	0.596	4.160	0.846	0.456	0.944	7407.67	45394	631284.11	1400
SRX32891226	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738914	0.984	0.569	3.714	0.845	0.499	0.926	10889.15	42783	651679.22	1449
SRX32891227	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738915	0.985	0.594	3.940	0.846	0.455	0.927	6884.95	43978	638808.1	1360
SRX32891228	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738916	0.984	0.614	3.971	0.822	0.466	0.934	6106.18	44484	623971.54	1309
SRX32891229	Airway Epithelium	NA	Airway epithelium	Airway epithelium	SRP690867	SRS28738917	0.984	0.595	3.818	0.841	0.467	0.936	7574.21	44207	620193.87	1429
SRX3591090	Spermatogonia	spermatogonia	NA	spermatogonia	SRP131117	SRS2859252	0.966	0.601	4.988	0.706	0.432	0.952	2877.53	57536	73778.48	1796
SRX3591091	Pachytene Spermatocyte	pachytene spermatocyte	NA	pachytene spermatocyte	SRP131117	SRS2859253	0.980	0.725	4.858	0.796	0.711	0.930	2158.41	53485	48951.78	1119
SRX3591093	Round Spermatid	round spermatid	NA	round spermatid	SRP131117	SRS2859254	0.962	0.792	2.545	0.784	0.729	0.703	2535.32	39643	73156.91	746
SRX3591094	Sperm	sperm	NA	sperm	SRP131117	SRS2859257	0.968	0.686	4.776	0.689	0.623	0.953	2003.64	60833	48347.45	1211
SRX4138632	White Blood	White blood cells	NA	Blood	SRP149295	SRS3352530	0.991	0.650	9.636	0.801	0.682	0.800	1311.58	35908	35888.79	251
SRX4193042	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403877	0.992	0.689	1.770	0.722	0.800	0.737	1858.88	26388	94373.52	385
SRX4193043	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403878	0.992	0.690	2.429	0.733	0.736	0.805	1696.0	28781	79722.99	446
SRX4193045	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403879	0.988	0.713	1.663	0.619	0.863	0.720	1786.91	27096	109006.55	372
SRX4193047	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403882	0.992	0.703	2.341	0.672	0.889	0.799	2042.57	27431	106322.76	678
SRX4193048	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403883	0.992	0.696	2.609	0.699	0.904	0.835	2048.73	28838	94157.21	870
SRX4193049	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403884	0.991	0.704	2.194	0.679	0.779	0.790	1968.68	27042	104866.46	479
SRX4193050	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403885	0.991	0.707	2.126	0.688	0.855	0.788	2021.25	26420	145566.41	324
SRX4193051	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403886	0.990	0.699	2.098	0.797	0.836	0.766	1856.88	28136	115277.31	458
SRX4193052	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403887	0.989	0.701	2.680	0.796	0.798	0.813	1721.32	29974	94756.28	528
SRX4193053	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403888	0.990	0.693	2.576	0.742	0.892	0.814	1840.73	26881	69031.92	672
SRX4193054	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403889	0.991	0.678	2.578	0.770	0.917	0.829	1870.25	28024	68570.69	661
SRX4193055	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403890	0.991	0.715	2.538	0.660	0.878	0.817	2237.99	28547	691850.67	1112
SRX4193056	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403891	0.991	0.711	2.725	0.681	0.886	0.840	2241.63	29642	628043.29	1209
SRX4193057	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403893	0.991	0.704	2.313	0.641	0.774	0.790	1781.67	27366	81189.85	510
SRX4193058	Lung	NA	lung	post mortem frozen tissue	SRP136499	SRS3403892	0.992	0.707	2.182	0.636	0.783	0.774	1820.03	26881	94807.15	385
