GCA_009829125.1_fPerMag1.pri	bony fishes
GCA_009829135.1_fPerMag1.alt	bony fishes
GCA_009829165.1_mMusErm1.alt	ermine
GCA_009829205.1_bChiLan1.alt	lance-tailed manakin
GCA_009859025.1_bTaeGut2.p.v1.alt	zebra finch
GCA_009859065.2_bTaeGut2.pri.v2	zebra finch
GCA_009873245.2_mBalMus1.v2	Blue whale
GCA_010909745.1_sAmbRad1.alt	thorny skate
GCA_010993595.1_kPetMar1.alt	sea lamprey
GCA_011004835.1_fEsoLuc1.alt	northern pike
GCA_011004845.1_fEsoLuc1.pri	northern pike
GCA_011004865.1_bBalReg1.alt	East African grey crowned-crane
GCA_011004875.1_bBalReg1.pri	East African grey crowned-crane
GCA_011078405.1_mCalJac1.mat	white-tufted-ear marmoset
GCA_011100535.1_mCalJac1.pat	white-tufted-ear marmoset
GCA_011100555.1_mCalJac1.pat.X	white-tufted-ear marmoset
GCA_011100635.1_mTriVul1.pri	common brushtail
GCA_011100645.1_mTriVul1.alt	common brushtail
GCA_011750645.1_mArvNil1.mat	African grass rat
GCA_011762505.1_mArvNil1.pat.X	African grass rat
GCA_011762515.1_mTurTru1.pat	common bottlenose dolphin
GCA_011762535.1_mTurTru1.mat	common bottlenose dolphin
GCA_011762545.1_mArvNil1.pat	African grass rat
GCA_012275265.1_bMelUnd1.mat	budgerigar
GCA_012275275.1_bMelUnd1.pat	budgerigar
GCA_012275295.1_bMelUnd1.mat.Z	budgerigar
GCA_900634435.1_fCotGob3.1_alternate_haplotype	bony fishes
GCA_900650485.1_fAnaTes1.2_alternate_haplotype	climbing perch
GCA_900650505.1_fGouWil2.1_alternate_haplotype	blunt-snouted clingfish
GCA_900651595.1_fParRan2.1_alternate_haplotype	Indian glassy fish
GCA_900651605.1_fBetSpl5.1_alternate_haplotype	Siamese fighting fish
GCA_900700345.2_fDenClu1.1_alternate_haplotype	denticle herring
GCA_900700395.1_fMasArm1.2_alternate_haplotype	zig-zag eel
GCA_900700845.2_fErpCal1.1_alternate_haplotype	reedfish
GCA_900880695.1_fSpaAur1.1_alternate_haplotype	gilthead seabream
GCA_900963505.1_fEcheNa1.1_alternate_haplotype	live sharksucker
GCA_900964985.2_fSclFor1.1_alternate_haplotype	Asian bonytongue
GCA_901000745.3_fTakRub1.2_alternate_haplotype	torafugu
GCA_901001175.1_aRhiBiv1.1_alternate_haplotype	two-lined caecilian
GCA_901699155.1_bStrTur1.1	birds
GCA_901699165.1_bStrTur1.1_alternate_haplotype	birds
GCA_901709675.1_fSynAcu1.1	greater pipefish
GCA_901709685.1_fSynAcu1.1_alternate_haplotype	greater pipefish
GCA_901765105.1_aMicUni1.1_alternate_haplotype	caecilians
GCA_902148815.1_fMyrMur1.1_alternate_haplotype	pinecone soldierfish
GCA_902148825.1_fSphaOr1.1_alternate_haplotype	orbiculate cardinalfish
GCA_902148835.1_fSalaFa1.1_alternate_haplotype	jewelled blenny
GCA_902153765.1_bAquChr1.2_alternate_haplotype	golden eagle
GCA_902167395.1_gadMor3.0_alternate_haplotype	Atlantic cod
GCA_902362175.1_fChaCha1.1_alternate_haplotype	milkfish
GCA_902459445.1_eAstRub1.2_alternate_haplotype	European starfish
GCA_902459495.1_aGeoSer1.1_alternate_haplotype	caecilians
GCA_902500245.1_fThaAma1.1_alternate_haplotype	bony fishes
GCA_902500255.1_fThaAma1.1	bony fishes
GCA_902685485.1_mSciVul1.1_alternate_haplotype	Eurasian red squirrel
GCA_902686455.1_mSciVul1.1	Eurasian red squirrel
GCA_902713425.1_fAciRut3.1_maternal_haplotype	sterlet
GCA_902713435.1_fAciRut3.1_paternal_haplotype	sterlet
GCF_003369695.1_UOA_Brahman_1	hybrid cattle
GCF_003957555.1_bCalAnn1_v1.p	Anna's hummingbird
GCF_003957565.1_bTaeGut1_v1.p	zebra finch
GCF_004027225.2_bStrHab1.2.pri	Kakapo
GCF_004115265.1_mRhiFer1_v1.p	greater horseshoe bat
GCF_004126475.1_mPhyDis1_v1.p	pale spear-nosed bat
GCF_007364275.1_fArcCen1	flier cichlid
