-16	0
-15	0
-14	0
-13	0
-12	0
-11	0
-10	0
-9	0
-8	0
-7	0
-6	0
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	1
13	1
14	1
15	1
16	1
17	1
18	2
19	2
20	2
21	3
22	3
23	3
24	4
25	5
26	5
27	6
28	7
29	8
30	8
31	9
32	11
33	12
34	13
35	14
36	16
37	18
38	19
39	21
40	23
41	25
42	27
43	30
44	32
45	35
46	38
47	40
48	43
49	46
50	50
51	53
52	56
53	59
54	63
55	66
56	69
57	72
58	75
59	78
60	81
61	84
62	86
63	89
64	91
65	92
66	94
67	95
68	96
69	97
70	98
71	98
72	99
73	99
74	99
75	100
76	100
77	100
78	100
79	100
80	100
81	100
82	100
83	100
84	100
85	100
86	100
87	100
88	100
89	100
90	100
91	100
92	100
93	100
94	100
