accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX21852673	iPSC derived extravillous trophoblast	EVT	iPSC derived extravillous trophoblast	NA	SRP462543	SRS18949674	0.982	0.635	10.194	0.885	0.687	0.954	5564.36	58547	725503.89	1666
SRX21852674	iPSC derived extravillous trophoblast	EVT	iPSC derived extravillous trophoblast	NA	SRP462543	SRS18949675	0.981	0.642	11.092	0.888	0.696	0.954	5233.47	60128	615599.39	1925
SRX2193417	Primary Tumor	NA	Primary Tumor	Patient A124	SRP049651	SRS1715908	0.995	0.728	8.265	0.820	0.959	0.950	1190.38	37949	25385.2	1022
SRX2193418	Peritoneal Metastasis	NA	peritoneal metastasis	Patient A124	SRP049651	SRS1715909	0.996	0.719	9.109	0.814	0.963	0.952	1257.14	38817	15349.38	2146
SRX2193419	Normal Pancreas	NA	Normal Pancreas	Patient A124	SRP049651	SRS1715910	0.995	0.658	7.918	0.782	0.951	0.949	1332.59	33647	23120.29	1177
SRX2193420	Primary Tumor	NA	Primary Tumor	Patient A125	SRP049651	SRS1715911	0.996	0.723	7.970	0.831	0.958	0.946	1315.34	33100	18004.99	1471
SRX2193421	Primary Tumor	NA	Primary Tumor	Patient A125	SRP049651	SRS1715912	0.996	0.498	5.779	0.847	0.855	0.928	28127.94	20229	864381.69	1590
SRX2193422	Liver Metastasis	NA	liver metastasis	Patient A125	SRP049651	SRS1715913	0.996	0.551	6.175	0.822	0.895	0.921	19391.96	33461	1038157.66	1287
SRX2193423	Liver Metastasis	NA	liver metastasis	Patient A125	SRP049651	SRS1715914	0.996	0.579	5.583	0.847	0.914	0.925	11323.17	46321	1095165.32	1172
SRX21974118	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 cells	SRP464289	SRS19050025	0.977	0.737	2.336	0.835	0.772	0.724	11204.09	48689	956667.15	988
SRX21974119	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B	SRP464289	SRS19049827	0.978	0.730	3.255	0.848	0.755	0.824	11620.22	46068	745287.04	960
SRX21974120	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3B	SRP464289	SRS19049828	0.974	0.786	2.548	0.842	0.736	0.759	10737.29	40587	767973.8	870
SRX21974121	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3B W263A	SRP464289	SRS19050026	0.970	0.836	2.473	0.840	0.690	0.759	1412.86	19348	944593.89	706
SRX21974122	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3A	SRP464289	SRS19050028	0.970	0.761	3.149	0.843	0.690	0.819	11625.06	44492	720740.87	960
SRX21974123	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3A catalytic dead	SRP464289	SRS19050027	0.975	0.724	2.485	0.840	0.676	0.774	11816.13	43971	779933.72	912
SRX21974125	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 cells with DNMT3B W263A mutation knocked in by CRISPR	SRP464289	SRS19049829	0.975	0.784	2.147	0.869	0.792	0.731	9232.98	52766	957457.52	967
SRX21974126	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 cells with DNMT3B W263A mutation knocked in by CRISPR	SRP464289	SRS19050029	0.979	0.766	2.274	0.874	0.797	0.754	10218.83	50533	926474.61	946
SRX21974127	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 cells with DNMT3B W263A mutation knocked in by CRISPR	SRP464289	SRS19049831	0.930	0.777	2.653	0.878	0.786	0.793	10207.01	54658	924813.8	1030
SRX21974128	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 control clone cells unedited by CRISPR	SRP464289	SRS19050030	0.980	0.750	3.260	0.879	0.789	0.827	10875.74	55798	856274.74	1154
SRX21974129	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 control clone cells unedited by CRISPR	SRP464289	SRS19049832	0.981	0.748	2.635	0.875	0.795	0.800	11246.04	53148	896948.15	1102
SRX21974130	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 cells	SRP464289	SRS19049833	0.977	0.731	1.617	0.863	0.932	0.723	10717.58	46243	1013011.05	931
SRX21974131	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B	SRP464289	SRS19050032	0.977	0.712	1.805	0.865	0.932	0.756	11452.09	44305	837248.81	844
SRX21974132	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3B	SRP464289	SRS19049834	0.972	0.797	1.755	0.860	0.936	0.749	8073.65	41132	894012.02	755
SRX21974133	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3B delta N	SRP464289	SRS19049835	0.970	0.780	1.800	0.858	0.934	0.756	10077.79	40971	858460.54	787
SRX21974134	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3B	SRP464289	SRS19050031	0.973	0.799	1.812	0.865	0.929	0.756	9069.15	39995	827235.69	801
SRX21974135	Colorectal Cancer Cell Line	colorectal cancer cell line	NA	HCT116 with knocked out DNMT3B expressing DNMT3B delta N	SRP464289	SRS19050033	0.973	0.776	1.775	0.862	0.930	0.754	10292.57	41369	847703.14	790
SRX21982623	Leukapheresis Products	DCreg	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057843	0.977	0.780	36.893	0.921	0.656	0.972	925.7	84142	13137.02	4287
SRX21982624	Leukapheresis Products	DCreg	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057844	0.977	0.783	47.914	0.911	0.758	0.977	942.0	85344	13114.56	4721
SRX21982625	Leukapheresis Products	DCreg	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057845	0.978	0.776	40.626	0.917	0.771	0.971	935.47	83761	13898.24	4526
SRX21982626	Leukapheresis Products	DCreg	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057846	0.978	0.790	35.449	0.919	0.771	0.975	920.23	84452	14379.76	4331
SRX21982627	Leukapheresis Products	DCreg	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057847	0.982	0.799	12.991	0.889	0.138	0.974	903.9	74970	14320.9	3752
SRX21982628	Leukapheresis Products	DCreg	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057848	0.981	0.801	16.333	0.906	0.208	0.972	917.19	77605	13976.92	3943
SRX21982629	Leukapheresis Products	mDC	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057849	0.978	0.791	33.902	0.915	0.761	0.971	929.99	83216	12876.35	4415
SRX21982630	Leukapheresis Products	mDC	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057850	0.978	0.792	45.915	0.914	0.668	0.978	930.11	86072	13213.66	4535
SRX21982631	Leukapheresis Products	mDC	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057851	0.978	0.782	30.817	0.922	0.813	0.971	916.24	82368	13955.86	3945
SRX21982632	Leukapheresis Products	mDC	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057852	0.978	0.784	29.984	0.918	0.813	0.975	907.06	83124	12772.74	4969
SRX21982633	Leukapheresis Products	mDC	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057853	0.979	0.797	13.968	0.904	0.138	0.975	916.4	77021	13895.18	4108
SRX21982634	Leukapheresis Products	mDC	Leukapheresis products	Leukapheresis products	SRP464400	SRS19057854	0.982	0.801	16.815	0.896	0.209	0.972	911.47	77610	13112.27	4210
SRX22149900	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209432	0.965	0.844	4.654	0.853	0.198	0.903	1322.78	38686	28928.41	1451
SRX22149901	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209433	0.980	0.728	4.444	0.828	0.186	0.890	1749.14	28031	22329.68	476
SRX22149902	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209434	0.967	0.721	4.178	0.631	0.148	0.888	1841.87	27949	30819.72	419
SRX22149903	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209435	0.979	0.851	5.608	0.843	0.397	0.920	1274.78	40955	27103.42	1436
SRX22149904	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209436	0.980	0.720	6.191	0.863	0.334	0.927	1585.69	30688	14238.41	843
SRX22149905	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209437	0.980	0.719	4.909	0.853	0.200	0.908	1704.8	29249	18185.64	539
SRX22149906	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209438	0.980	0.848	6.392	0.868	0.235	0.927	1270.5	42535	23183.77	1980
SRX22149907	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209439	0.980	0.710	8.334	0.863	0.356	0.948	1365.58	35585	15312.04	900
SRX22149908	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209440	0.980	0.719	5.922	0.841	0.302	0.924	1749.95	29922	31409.83	254
SRX22149909	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209441	0.980	0.852	7.354	0.871	0.484	0.933	1225.96	43359	20238.26	2165
SRX22149910	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209442	0.981	0.739	9.677	0.876	0.553	0.946	1381.75	35340	15832.61	884
