accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX25739212	Liver	NA	Liver	NA	SRP476618	SRS22378912	0.996	0.713	12.054	0.859	0.660	0.950	1133.89	45839	12002.23	1584
SRX25739213	Liver	NA	Liver	NA	SRP476618	SRS22378913	0.996	0.708	23.907	0.855	0.751	0.954	1016.76	56243	8512.81	2795
SRX25739214	Liver	NA	Liver	NA	SRP476618	SRS22378914	0.996	0.723	11.589	0.855	0.656	0.950	1151.78	44464	12189.83	1475
SRX25739215	Liver	NA	Liver	NA	SRP476618	SRS22378915	0.996	0.713	11.493	0.855	0.647	0.949	1152.88	42540	11825.12	1385
SRX25759899	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399036	0.985	0.737	20.532	0.876	0.630	0.964	981.34	77058	8559.34	3096
SRX25759900	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399037	0.983	0.734	24.680	0.889	0.649	0.957	985.83	79456	8936.5	2879
SRX25759901	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399038	0.986	0.725	23.950	0.880	0.631	0.966	995.54	76574	9017.34	2778
SRX25759902	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399039	0.984	0.718	25.363	0.889	0.651	0.958	1012.64	77247	9687.13	2400
SRX25759903	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399040	0.984	0.750	21.238	0.884	0.671	0.964	1019.49	73308	8645.64	3131
SRX25759904	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399041	0.985	0.747	23.690	0.889	0.612	0.958	957.68	82977	8540.39	3257
SRX25759905	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399042	0.994	0.756	10.750	0.841	0.431	0.946	1068.68	64787	12882.1	1608
SRX25759906	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399043	0.994	0.755	10.080	0.835	0.406	0.939	1088.78	63508	13452.72	1468
SRX25759907	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399044	0.984	0.740	20.753	0.881	0.675	0.965	971.85	79143	8972.11	2751
SRX25759908	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399045	0.985	0.746	25.676	0.891	0.608	0.958	957.17	84096	8621.28	3122
SRX25759909	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399046	0.994	0.742	10.907	0.846	0.452	0.947	1052.99	65367	13173.51	1459
SRX25759910	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399047	0.994	0.729	12.104	0.848	0.470	0.949	1019.79	68215	8567.3	2777
SRX25759911	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399048	0.994	0.712	18.707	0.843	0.464	0.953	896.54	83652	8377.36	3359
SRX25759912	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399049	0.994	0.712	17.214	0.854	0.511	0.946	933.01	79809	8121.49	3558
SRX25759913	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399050	0.994	0.714	18.327	0.850	0.435	0.952	928.2	78480	8523.5	3065
SRX25759914	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399051	0.994	0.731	16.892	0.854	0.396	0.945	984.6	73058	8450.42	3022
SRX25759915	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399052	0.994	0.745	10.668	0.847	0.417	0.947	1028.7	66901	13280.64	1617
SRX25759916	Colonic Stem Cell	NA	colonic stem cell	colonic stem cell	SRP527397	SRS22399053	0.995	0.738	10.677	0.852	0.463	0.942	1034.69	66364	12656.68	1838
SRX25759917	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399054	0.994	0.740	11.105	0.834	0.396	0.946	1018.92	68165	13306.45	1592
SRX25759918	Colonic Differentiated	NA	colonic differentiated cell	colonic differentiated cell	SRP527397	SRS22399055	0.994	0.746	11.190	0.853	0.440	0.942	1041.03	66821	8156.32	3142
SRX26044512	Embryonic Brain	E11.5 brain	embryonic brain	embryonic brain	SRP531904	SRS22615440	0.979	0.807	15.008	0.904	0.612	0.953	1435.29	39992	15903.56	4355
SRX26044513	Embryonic Brain	E11.5 brain	embryonic brain	embryonic brain	SRP531904	SRS22615441	0.978	0.794	15.986	0.907	0.634	0.950	1478.28	47173	15216.91	4558
SRX26044514	Embryonic Brain	E11.5 brain	embryonic brain	embryonic brain	SRP531904	SRS22615442	0.979	0.797	25.106	0.902	0.575	0.961	1218.33	46973	16399.51	4800
SRX26044515	Embryonic Brain	E11.5 brain	embryonic brain	embryonic brain	SRP531904	SRS22615443	0.979	0.795	18.675	0.903	0.545	0.957	1335.78	49332	16315.73	4669
SRX2607680	Cerebellar Granule Cells	NA	NA	Cerebellar Granule Cells	SRP100972	SRS2019791	0.994	0.659	1.822	0.368	0.674	0.730	1978.07	27043	74650.3	319
SRX2607681	Cerebellar Granule Cells	NA	NA	Cerebellar Granule Cells	SRP100972	SRS2019793	0.993	0.678	3.622	0.169	0.356	0.872	1444.63	38377	43720.5	598
SRX26127163	Lung	NA	lung	lung	SRP472167	SRS22689344	0.994	0.733	9.850	0.888	0.324	0.955	1218.25	56148	14192.57	1201
SRX26127164	Lung	NA	lung	lung	SRP472167	SRS22689345	0.994	0.733	9.410	0.889	0.373	0.954	1227.6	55485	13084.56	1413
SRX26127165	Lung	NA	lung	lung	SRP472167	SRS22689346	0.994	0.732	11.095	0.889	0.328	0.956	1190.5	58034	9150.61	2351
SRX26127166	Lung	NA	lung	lung	SRP472167	SRS22689347	0.994	0.743	9.672	0.872	0.577	0.956	1294.86	54666	15649.35	1349
SRX26127167	Lung	NA	lung	lung	SRP472167	SRS22689348	0.994	0.746	11.149	0.872	0.546	0.960	1250.79	57852	16182.95	1464
SRX26127168	Lung	NA	lung	lung	SRP472167	SRS22689349	0.994	0.743	10.413	0.880	0.577	0.951	1238.6	55450	13727.73	1313
SRX26127169	Lung	NA	lung	lung	SRP472167	SRS22689350	0.995	0.748	11.791	0.875	0.562	0.963	1204.91	58216	9402.36	2574
SRX26127170	Lung	NA	lung	lung	SRP472167	SRS22689351	0.994	0.743	10.108	0.873	0.547	0.959	1274.14	55660	13870.61	1555
SRX26127171	Lung	NA	lung	lung	SRP472167	SRS22689352	0.994	0.748	9.902	0.874	0.573	0.959	1255.73	55797	14750.52	1322
SRX2613753	Lin-Sca1+Kit-cells	Lin-Sca1+Kit-cells	NA	Bone marrow (femur, pelvis, tibia)	SRP101416	SRS2024337	0.989	0.756	27.367	0.575	0.805	0.957	821.44	61539	10682.61	1834
SRX2614671	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025160	0.993	0.728	11.764	0.826	0.853	0.948	1209.86	66666	16543.05	1910
SRX2614672	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025161	0.993	0.721	12.412	0.828	0.874	0.948	1200.91	69266	17858.81	1605
SRX2614673	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025162	0.993	0.723	10.289	0.831	0.881	0.945	1211.39	64571	16538.75	1757
SRX2614674	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025163	0.993	0.723	10.152	0.824	0.884	0.946	1211.63	63976	16612.38	1724
