accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX19844702	Gonad	NA	gonad	NA	SRP430459	SRS17203813	0.987	0.571	24.367	0.827	0.948	0.957	1038.86	29332	12511.04	1458
SRX19844703	Gonad	NA	gonad	NA	SRP430459	SRS17203814	0.988	0.579	25.481	0.849	0.946	0.957	1030.91	29464	13560.45	1205
SRX19844704	Gonad	NA	gonad	NA	SRP430459	SRS17203815	0.990	0.544	24.908	0.756	0.948	0.962	1017.4	28164	11441.1	1225
SRX22022780	Leg Muscle	NA	leg muscle	NA	SRP464968	SRS19012391	0.994	0.628	14.586	0.664	0.718	0.934	1217.09	27426	13535.66	1260
SRX22022781	Leg Muscle	NA	leg muscle	NA	SRP464968	SRS19012392	0.995	0.620	20.351	0.869	0.696	0.952	1128.32	28526	14142.51	1270
SRX22097009	Shell Gland	NA	shell gland	NA	SRP466458	SRS19162886	0.992	0.630	8.795	0.798	0.316	0.893	1530.47	24221	13633.64	1176
SRX22097010	Shell Gland	NA	shell gland	NA	SRP466458	SRS19162888	0.992	0.632	7.969	0.769	0.231	0.856	1648.85	23248	12955.94	1016
SRX22097011	Shell Gland	NA	shell gland	NA	SRP466458	SRS19162887	0.992	0.576	8.087	0.673	0.294	0.881	1612.01	23525	13771.55	864
SRX22097012	Shell Gland	NA	shell gland	NA	SRP466458	SRS19162889	0.992	0.626	10.220	0.784	0.328	0.906	1405.93	25637	13611.81	1008
SRX2334891	Breast Muscle	NA	breast muscle	NA	SRP092806	SRS1788540	0.995	0.631	35.394	0.824	0.701	0.930	1109.84	24761	12866.65	1019
SRX2344237	Breast Muscle	NA	breast muscle	NA	SRP092806	SRS1788540	0.996	0.633	18.012	0.817	0.674	0.881	1285.13	22519	10976.11	997
SRX2344238	Breast Muscle	NA	breast muscle	NA	SRP092806	SRS1793712	0.994	0.630	18.248	0.831	0.743	0.888	1239.21	23929	12492.08	979
SRX24393185	Hindlimb 28HH third interdigit	NA	Hindlimb 28HH third interdigit	Hindlimb 28HH third interdigit	SRP504622	SRS21148749	0.947	0.522	4.439	0.043	0.646	0.806	1964.75	17070	91552.73	126
SRX24393186	Hindlimb 28HH third interdigit	NA	Hindlimb 28HH third interdigit	Hindlimb 28HH third interdigit	SRP504622	SRS21148750	0.945	0.517	3.378	0.038	0.600	0.749	2216.15	15580	174828.29	76
SRX24393187	Hindlimb 28HH third interdigit	NA	Hindlimb 28HH third interdigit	Hindlimb 28HH third interdigit	SRP504622	SRS21148751	0.945	0.521	5.316	0.050	0.669	0.841	1830.79	18086	71184.48	132
SRX24393188	Hindlimb 28HH third interdigit	NA	Hindlimb 28HH third interdigit	Hindlimb 28HH third interdigit	SRP504622	SRS21148752	0.946	0.507	5.300	0.052	0.624	0.814	1927.75	17404	107216.43	67
SRX27760408	Heart	NA	heart	NA	SRP562767	SRS24029611	0.995	0.625	12.348	0.760	0.428	0.862	1557.56	21960	12973.85	818
SRX27760409	Heart	NA	heart	NA	SRP562767	SRS24029612	0.995	0.621	11.992	0.784	0.724	0.861	1496.36	21419	11897.09	803
SRX27760410	Heart	NA	heart	NA	SRP562767	SRS24029613	0.995	0.623	11.447	0.759	0.422	0.868	1519.54	21648	12185.91	981
SRX27760411	Heart	NA	heart	NA	SRP562767	SRS24029614	0.994	0.624	11.205	0.786	0.617	0.863	1517.33	21461	11023.81	1144
SRX27760412	Heart	NA	heart	NA	SRP562767	SRS24029615	0.995	0.602	13.546	0.808	0.636	0.923	1252.37	24322	12819.04	1272
SRX27760413	Heart	NA	heart	NA	SRP562767	SRS24029616	0.995	0.624	11.097	0.806	0.671	0.878	1471.07	22295	11445.62	1266
SRX27760414	Heart	NA	heart	NA	SRP562767	SRS24029617	0.994	0.623	12.718	0.811	0.723	0.866	1427.01	22106	12653.67	723
SRX27760415	Heart	NA	heart	NA	SRP562767	SRS24029618	0.995	0.628	11.966	0.794	0.785	0.910	1280.25	23357	12102.86	1174
SRX27760416	Heart	NA	heart	NA	SRP562767	SRS24029619	0.995	0.609	15.640	0.837	0.778	0.933	1181.18	24541	12562.72	1155
SRX27760417	Heart	NA	heart	NA	SRP562767	SRS24029620	0.995	0.621	11.323	0.804	0.839	0.880	1384.5	23773	13292.58	950
SRX27760418	Heart	NA	heart	NA	SRP562767	SRS24029621	0.995	0.636	11.925	0.811	0.803	0.882	1353.13	23841	12037.72	1183
SRX27760419	Heart	NA	heart	NA	SRP562767	SRS24029622	0.995	0.600	13.312	0.814	0.556	0.922	1233.46	24034	13296.1	958
SRX27760420	Heart	NA	heart	NA	SRP562767	SRS24029623	0.995	0.614	12.305	0.794	0.744	0.888	1360.37	23162	11698.67	1099
SRX27760421	Heart	NA	heart	NA	SRP562767	SRS24029624	0.994	0.629	7.851	0.744	0.371	0.832	1801.16	20189	24458.49	629
SRX27760422	Heart	NA	heart	NA	SRP562767	SRS24029625	0.983	0.602	10.974	0.714	0.704	0.916	1402.8	21912	12148.17	1135
SRX27760423	Heart	NA	heart	NA	SRP562767	SRS24029626	0.989	0.602	11.614	0.705	0.522	0.914	1354.56	22421	12768.67	1009
SRX27760424	Heart	NA	heart	NA	SRP562767	SRS24029627	0.992	0.601	11.791	0.715	0.635	0.918	1384.61	22648	13279.26	1320
SRX27760425	Heart	NA	heart	NA	SRP562767	SRS24029628	0.988	0.615	10.610	0.729	0.687	0.899	1419.16	22675	12863.91	1058
SRX27760426	Heart	NA	heart	NA	SRP562767	SRS24029629	0.995	0.601	10.491	0.811	0.617	0.867	1487.94	21692	11736.4	833
SRX27760427	Heart	NA	heart	NA	SRP562767	SRS24029630	0.995	0.609	10.954	0.798	0.577	0.887	1404.02	22702	12737.24	907
SRX27760428	Heart	NA	heart	NA	SRP562767	SRS24029631	0.995	0.601	10.974	0.809	0.591	0.869	1541.72	20516	11673.77	820
SRX27760429	Heart	NA	heart	NA	SRP562767	SRS24029632	0.994	0.628	12.931	0.759	0.331	0.844	1551.78	21119	11266.01	844
SRX27760430	Heart	NA	heart	NA	SRP562767	SRS24029633	0.995	0.584	14.128	0.812	0.635	0.922	1253.3	22947	11801.59	923
SRX27760431	Heart	NA	heart	NA	SRP562767	SRS24029634	0.994	0.612	12.697	0.775	0.577	0.901	1387.31	22040	12351.3	1025
SRX27760432	Heart	NA	heart	NA	SRP562767	SRS24029635	0.995	0.584	9.702	0.772	0.388	0.891	1462.27	21977	12782.33	783
SRX2882281	Cornea	NA	cornea	NA	SRP108572	SRS2250757	0.996	0.545	6.185	0.828	0.898	0.915	1502.04	24481	24966.94	858
SRX2882282	Cornea	NA	cornea	NA	SRP108572	SRS2250757	0.996	0.569	5.495	0.859	0.897	0.865	1874.06	22132	25655.9	735
SRX2882283	Retina	NA	Retina	NA	SRP108572	SRS2250758	0.996	0.585	4.688	0.841	0.900	0.895	1610.86	23817	38779.36	823
SRX2882284	Retina	NA	Retina	NA	SRP108572	SRS2250758	0.996	0.605	5.301	0.849	0.897	0.885	1605.81	24232	29098.08	911
SRX2882285	Retina	NA	Retina	NA	SRP108572	SRS2250759	0.996	0.570	3.822	0.846	0.902	0.878	1551.0	21361	27917.52	518
SRX2882286	Retina	NA	Retina	NA	SRP108572	SRS2250758	0.996	0.585	4.695	0.841	0.907	0.894	1627.5	23465	39591.53	835
SRX2882287	Retina	NA	Retina	NA	SRP108572	SRS2250759	0.995	0.493	8.469	0.740	0.864	0.847	1240.36	23344	59536.68	115
SRX2882288	Retina	NA	Retina	NA	SRP108572	SRS2250759	0.996	0.578	4.102	0.847	0.895	0.877	1520.58	22010	25513.27	707
SRX2882289	Cornea	NA	cornea	NA	SRP108572	SRS2250757	0.996	0.544	4.148	0.859	0.901	0.859	2174.06	20528	41214.23	530
SRX2882290	Brain	NA	brain	NA	SRP108572	SRS2250760	0.994	0.569	5.311	0.846	0.911	0.902	1493.65	21257	18452.95	768
SRX2882291	Brain	NA	brain	NA	SRP108572	SRS2250760	0.994	0.586	3.709	0.859	0.886	0.826	1946.0	18979	31595.15	414
SRX2882292	Brain	NA	brain	NA	SRP108572	SRS2250760	0.994	0.613	3.583	0.865	0.895	0.786	2102.71	18064	27083.68	619
SRX3055129	Embryo	NA	embryo	NA	SRP033603	SRS607168	0.994	0.648	10.480	0.854	0.866	0.924	1277.08	22864	11191.26	1341
SRX3055130	Embryo	NA	embryo	NA	SRP033603	SRS607177	0.990	0.641	12.774	0.711	0.808	0.935	1358.5	21626	17818.0	796
SRX3055133	Embryo	NA	embryo	NA	SRP033603	SRS607185	0.995	0.633	10.819	0.837	0.666	0.942	1215.59	23531	10566.78	1302
SRX3055134	Embryo	NA	embryo	NA	SRP033603	SRS607186	0.903	0.696	9.138	0.555	0.624	0.883	1578.23	20459	27354.07	544
SRX3055135	Embryo	NA	embryo	NA	SRP033603	SRS607184	0.915	0.683	13.664	0.557	0.771	0.937	1283.5	22561	17870.5	918
