chiLan	34839	Chinchilla lanigera	2012-11-14 10:16:14	vertebrates_mammals/Chinchilla_lanigera/ChiLan1.0/ASSEMBLY_INFO
chlSab	60711	Chlorocebus sabaeus	2013-07-14 16:35:15	vertebrates_mammals/Chlorocebus_sabaeus/Chlorocebus_sabeus_1.0/ASSEMBLY_INFO
chlSab	60711	Chlorocebus sabaeus	2014-03-27 10:23:16	vertebrates_mammals/Chlorocebus_sabaeus/Chlorocebus_sabeus_1.1/ASSEMBLY_INFO
chlUnd	187382	Chlamydotis undulata macqueenii	2014-06-04 10:23:03	vertebrates_other/Chlamydotis_undulata/ASM69519v1/ASSEMBLY_INFO
chrAsi	185453	Chrysochloris asiatica	2012-11-14 10:16:14	vertebrates_mammals/Chrysochloris_asiatica/ChrAsi1.0/ASSEMBLY_INFO
chrPic	8478	Chrysemys picta bellii	2012-11-14 10:16:19	vertebrates_other/Chrysemys_picta/Chrysemys_picta_bellii-3.0.1/ASSEMBLY_INFO
chrPic	8478	Chrysemys picta bellii	2014-04-02 10:23:14	vertebrates_other/Chrysemys_picta/Chrysemys_picta_bellii-3.0.3/ASSEMBLY_INFO
colLiv	8932	Columba livia	2013-02-21 23:30:07	vertebrates_other/Columba_livia/Cliv_1.0/ASSEMBLY_INFO
colStr	57412	Colius striatus	2014-06-04 10:23:03	vertebrates_other/Colius_striatus/ASM69071v1/ASSEMBLY_INFO
conCri	143302	Condylura cristata	2012-11-14 10:16:14	vertebrates_mammals/Condylura_cristata/ConCri1.0/ASSEMBLY_INFO
corBra	85066	Corvus brachyrhynchos	2014-06-04 10:23:03	vertebrates_other/Corvus_brachyrhynchos/ASM69197v1/ASSEMBLY_INFO
cotJap	93934	Coturnix japonica	2013-12-23 10:23:03	vertebrates_other/Coturnix_japonica/Coja_1.0/ASSEMBLY_INFO
criGri	10029	Cricetulus griseus	2012-11-14 10:16:14	vertebrates_mammals/Cricetulus_griseus/CriGri_1.0/ASSEMBLY_INFO
criGri	10029	Cricetulus griseus	2013-07-31 16:27:38	vertebrates_mammals/Cricetulus_griseus/C_griseus_v1.0/ASSEMBLY_INFO
criGri	10029	Cricetulus griseus	2013-09-03 10:23:25	vertebrates_mammals/Cricetulus_griseus/Cgr1.0/ASSEMBLY_INFO
cynSem	244447	Cynoglossus semilaevis	2014-02-03 10:23:03	vertebrates_other/Cynoglossus_semilaevis/Cse_v1.0/ASSEMBLY_INFO
danRer	7955	Danio rerio	2012-11-14 10:16:19	vertebrates_other/Danio_rerio/Zv9/ASSEMBLY_INFO
dasNov	9361	Dasypus novemcinctus	2012-11-14 10:16:14	vertebrates_mammals/Dasypus_novemcinctus/Dasnov3.0/ASSEMBLY_INFO
dicLab	13489	Dicentrarchus labrax	2014-06-04 10:23:03	vertebrates_other/Dicentrarchus_labrax/seabass_V1.0/ASSEMBLY_INFO
echTel	9371	Echinops telfairi	2012-12-13 16:22:44	vertebrates_mammals/Echinops_telfairi/EchTel2.0/ASSEMBLY_INFO
egrGar	188379	Egretta garzetta	2014-06-04 10:23:03	vertebrates_other/Egretta_garzetta/ASM68718v1/ASSEMBLY_INFO
eidHel	77214	Eidolon helvum	2013-09-23 10:23:12	vertebrates_mammals/Eidolon_helvum/ASM46528v1/ASSEMBLY_INFO
eleEdw	28737	Elephantulus edwardii	2012-11-14 10:16:14	vertebrates_mammals/Elephantulus_edwardii/EleEdw1.0/ASSEMBLY_INFO
eptFus	29078	Eptesicus fuscus	2012-11-14 10:16:14	vertebrates_mammals/Eptesicus_fuscus/EptFus1.0/ASSEMBLY_INFO
equCab	9796	Equus caballus	2014-06-09 10:23:06	vertebrates_mammals/Equus_caballus/Ajinai1.0/ASSEMBLY_INFO
equPrz	9798	Equus przewalskii	2014-06-09 10:23:06	vertebrates_mammals/Equus_przewalskii/Burgud/ASSEMBLY_INFO
eriEur	9365	Erinaceus europaeus	2012-11-14 10:16:15	vertebrates_mammals/Erinaceus_europaeus/EriEur2.0/ASSEMBLY_INFO
eurHel	54383	Eurypyga helias	2014-06-04 10:23:03	vertebrates_other/Eurypyga_helias/ASM69077v1/ASSEMBLY_INFO
falChe	345164	Falco cherrug	2013-02-21 23:30:07	vertebrates_other/Falco_cherrug/F_cherrug_v1.0/ASSEMBLY_INFO
falPer	8954	Falco peregrinus	2013-02-21 23:30:07	vertebrates_other/Falco_peregrinus/F_peregrinus_v1.0/ASSEMBLY_INFO
felCat	9685	Felis catus	2012-11-14 10:16:15	vertebrates_mammals/Felis_catus/Felis_catus-6.2/ASSEMBLY_INFO
felCat	9685	Felis catus	2012-11-14 10:16:15	vertebrates_mammals/Felis_catus/catChrV17e/ASSEMBLY_INFO
felCat	9685	Felis catus	2012-11-14 10:16:15	vertebrates_mammals/Felis_catus/catChrV17e/ASSEMBLY_INFO.29May2009
ficAlb	59894	Ficedula albicollis	2012-12-13 16:22:47	vertebrates_other/Ficedula_albicollis/FicAlb_1.4/ASSEMBLY_INFO
