accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX19483484	Semen	sperm	semen	semen	SRP424142	SRS16874539	0.938	0.768	2.399	0.817	0.642	0.767	2006.22	42343	392875.34	733
SRX19483485	Semen	sperm	semen	semen	SRP424142	SRS16874541	0.982	0.750	1.878	0.811	0.687	0.706	1766.96	41256	390937.37	574
SRX19483487	Semen	sperm	semen	semen	SRP424142	SRS16874540	0.986	0.753	2.358	0.799	0.588	0.745	1787.91	42198	405486.7	700
SRX19483488	Semen	sperm	semen	semen	SRP424142	SRS16874542	0.908	0.776	2.502	0.819	0.671	0.785	1940.24	40188	313761.51	731
SRX19483489	Semen	sperm	semen	semen	SRP424142	SRS16874544	0.985	0.773	2.178	0.887	0.576	0.724	2010.47	44042	317191.2	893
SRX19483490	Semen	sperm	semen	semen	SRP424142	SRS16874547	0.982	0.741	1.990	0.808	0.684	0.714	1991.87	42919	468718.41	658
SRX19891443	Muscle	NA	muscle	NA	SRP428601	SRS17112284	0.991	0.667	17.122	0.770	0.425	0.955	1267.68	41292	25429.27	2724
SRX19891444	Muscle	NA	muscle	NA	SRP428601	SRS17112285	0.991	0.661	17.316	0.786	0.481	0.955	1324.79	42085	39089.85	3388
SRX19891445	Muscle	NA	muscle	NA	SRP428601	SRS17112286	0.991	0.662	17.734	0.778	0.517	0.955	1317.49	42824	37296.68	3379
SRX19891446	Muscle	NA	muscle	NA	SRP428601	SRS17112287	0.991	0.667	16.756	0.790	0.463	0.951	1282.19	41846	35269.85	2964
SRX19891447	Muscle	NA	muscle	NA	SRP428601	SRS17112288	0.991	0.665	18.258	0.751	0.520	0.956	1281.41	45142	35148.47	2972
SRX19891448	Muscle	NA	muscle	NA	SRP428601	SRS17112289	0.991	0.663	20.325	0.746	0.505	0.959	1222.15	44945	26164.91	2567
SRX19891449	Muscle	NA	muscle	NA	SRP428601	SRS17112290	0.991	0.662	17.776	0.782	0.481	0.954	1294.42	45269	30884.19	2725
SRX19891450	Muscle	NA	muscle	NA	SRP428601	SRS17112291	0.991	0.667	17.239	0.788	0.466	0.954	1427.82	44138	71602.85	3309
SRX19891451	Muscle	NA	muscle	NA	SRP428601	SRS17112292	0.991	0.660	16.747	0.749	0.431	0.953	1280.98	42967	33393.58	2710
SRX21852391	Muscle	NA	muscle	NA	SRP462530	SRS18949420	0.994	0.638	13.005	0.832	0.609	0.943	1306.85	41754	30107.71	2604
SRX21852392	Muscle	NA	muscle	NA	SRP462530	SRS18949421	0.994	0.628	16.532	0.762	0.657	0.955	1326.56	47185	46805.92	3161
SRX21852393	Muscle	NA	muscle	NA	SRP462530	SRS18949422	0.994	0.626	17.236	0.764	0.633	0.956	1244.34	42955	31475.55	2481
SRX21852394	Muscle	NA	muscle	NA	SRP462530	SRS18949423	0.994	0.633	15.437	0.758	0.641	0.951	1309.84	39002	46908.57	3227
SRX21852395	Muscle	NA	muscle	NA	SRP462530	SRS18949424	0.994	0.633	14.259	0.848	0.673	0.946	1183.21	44325	22618.26	2138
SRX21852396	Muscle	NA	muscle	NA	SRP462530	SRS18949425	0.994	0.634	14.736	0.754	0.656	0.943	1436.16	43635	62077.98	3265
SRX21852397	Muscle	NA	muscle	NA	SRP462530	SRS18949426	0.994	0.633	16.807	0.773	0.673	0.955	1214.51	42490	24909.22	2248
SRX21852398	Muscle	NA	muscle	NA	SRP462530	SRS18949427	0.994	0.653	14.499	0.793	0.651	0.941	1314.2	38597	29217.1	3050
SRX21852400	Muscle	NA	muscle	NA	SRP462530	SRS18949429	0.994	0.637	18.044	0.805	0.649	0.958	1149.52	54051	18031.66	1692
SRX21852401	Muscle	NA	muscle	NA	SRP462530	SRS18949430	0.994	0.658	13.977	0.809	0.631	0.939	1344.39	43420	30395.08	2506
SRX21852402	Muscle	NA	muscle	NA	SRP462530	SRS18949431	0.994	0.664	12.977	0.806	0.621	0.944	1245.77	39714	20108.43	1937
SRX21852403	Muscle	NA	muscle	NA	SRP462530	SRS18949432	0.994	0.629	17.623	0.778	0.664	0.957	1201.05	39713	19328.27	2220
SRX26855365	Cell	NA	Cell	NA	SRP546322	SRS23338295	0.992	0.760	10.658	0.605	0.572	0.927	1450.94	44761	40238.72	1588
SRX26855366	Cell	NA	Cell	NA	SRP546322	SRS23338296	0.992	0.760	10.187	0.612	0.549	0.926	1481.2	44334	25738.72	2226
SRX26855371	Cell	NA	Cell	NA	SRP546322	SRS23338301	0.992	0.721	13.973	0.846	0.551	0.933	1268.04	41798	14385.46	1760
SRX26855372	Cell	NA	Cell	NA	SRP546322	SRS23338302	0.993	0.721	12.493	0.843	0.538	0.921	1330.71	40531	14015.94	1882
SRX26855373	Cell	NA	Cell	NA	SRP546322	SRS23338303	0.993	0.721	14.396	0.846	0.533	0.936	1235.28	42618	13693.07	1796
SRX26855374	Cell	NA	Cell	NA	SRP546322	SRS23338304	0.992	0.759	11.487	0.610	0.604	0.933	1396.17	46841	25404.4	2235
SRX2786567	Endodermal	NA	Endodermal	NA	SRP106517	SRS2168552	0.965	0.456	1.817	0.847	0.168	0.720	22487.01	210	5145652.54	91
SRX2786568	Endodermal	NA	Endodermal	NA	SRP106517	SRS2168555	0.974	0.628	2.360	0.852	0.452	0.798	2325.94	24642	38385.67	328
SRX2786569	Endodermal	NA	Endodermal	NA	SRP106517	SRS2168554	0.986	0.505	2.010	0.817	0.283	0.747	2856.29	21904	5020922.22	89
SRX28384804	Caruncle	NA	Caruncle	NA	SRP578377	SRS24708741	0.986	0.351	14.323	0.877	0.599	0.958	1336.55	30397	111259.41	1896
SRX28384805	Caruncle	NA	Caruncle	NA	SRP578377	SRS24708743	0.987	0.353	13.730	0.887	0.598	0.957	1310.48	31350	38545.91	705
SRX28384806	Spleen	NA	Spleen	NA	SRP578377	SRS24708744	0.984	0.707	13.898	0.891	0.547	0.957	1135.47	38684	10699.74	1375
SRX28384807	Spleen	NA	Spleen	NA	SRP578377	SRS24708746	0.984	0.722	12.971	0.892	0.575	0.956	1107.88	39108	10201.09	1373
SRX28384808	Caruncle	NA	Caruncle	NA	SRP578377	SRS24708742	0.985	0.413	16.002	0.888	0.512	0.959	1232.84	33627	35970.72	927
SRX28384809	Caruncle	NA	Caruncle	NA	SRP578377	SRS24708745	0.986	0.248	14.366	0.880	0.573	0.958	2370.77	29830	983863.21	891
SRX28384810	Mammary	NA	Mammary	NA	SRP578377	SRS24708747	0.984	0.691	13.779	0.883	0.591	0.958	1190.43	38336	11189.75	1737
SRX28384811	Mammary	NA	Mammary	NA	SRP578377	SRS24708748	0.982	0.660	15.719	0.886	0.577	0.959	1251.31	49849	12813.87	1737
SRX28384812	Mammary	NA	Mammary	NA	SRP578377	SRS24708749	0.985	0.709	14.886	0.897	0.552	0.958	1102.79	41609	9972.09	1574
SRX28384813	Mammary	NA	Mammary	NA	SRP578377	SRS24708751	0.986	0.355	14.578	0.893	0.585	0.958	1343.22	29791	34687.38	667
SRX28384814	Spleen	NA	Spleen	NA	SRP578377	SRS24708752	0.984	0.715	13.358	0.894	0.606	0.956	1131.39	37898	11160.49	1192
SRX28384815	Spleen	NA	Spleen	NA	SRP578377	SRS24708750	0.984	0.713	16.762	0.897	0.607	0.958	1100.36	43329	10442.09	1549
SRX30022753	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094674	0.975	0.504	12.124	0.603	0.605	0.949	2510.92	37309	168142.62	2939
SRX30022754	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094676	0.975	0.382	12.057	0.604	0.556	0.950	10172.68	40682	101027.95	4743
SRX30022755	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094675	0.975	0.431	12.583	0.602	0.601	0.950	5535.72	39190	207471.91	2657
