accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX23169829	Embryo	NA	Embryo	NA	SRP483279	SRS20119301	0.987	0.112	4.436	0.544	0.714	0.890	1451121.0	1	0.0	0
SRX23169830	Embryo	NA	Embryo	NA	SRP483279	SRS20119302	0.984	0.292	4.518	0.539	0.725	0.898	1479517.0	2	286648.89	671
SRX23169831	Embryo	NA	Embryo	NA	SRP483279	SRS20119303	0.987	0.203	3.520	0.418	0.652	0.860	1254045.0	1	2543439.5	4
SRX23169832	Embryo	NA	Embryo	NA	SRP483279	SRS20119304	0.985	0.141	4.545	0.561	0.722	0.889	1451121.0	1	708008.57	190
SRX23169833	Embryo	NA	Embryo	NA	SRP483279	SRS20119305	0.985	0.115	4.684	0.567	0.705	0.898	1498988.0	2	1020687.25	24
SRX23169834	Embryo	NA	Embryo	NA	SRP483279	SRS20119306	0.985	0.191	4.317	0.520	0.669	0.891	1479408.5	2	522400.64	589
SRX2352922	Liver	NA	liver	liver_NCD	SRP093620	SRS1802680	0.972	0.733	19.265	0.875	0.762	0.981	1164.74	65184	13571.11	4014
SRX2352923	Liver	NA	liver	liver_NCD	SRP093620	SRS1802683	0.973	0.729	18.818	0.879	0.788	0.980	1150.89	65360	13925.57	3786
SRX2352924	Liver	NA	liver	liver_NCD_with_0.05%Pb	SRP093620	SRS1802682	0.974	0.765	16.184	0.868	0.831	0.979	1294.4	59417	14372.39	3997
SRX2352925	Liver	NA	liver	liver_NCD_with_0.05%Pb	SRP093620	SRS1802681	0.973	0.745	17.567	0.870	0.788	0.981	1196.87	61558	13623.41	3920
SRX24535506	Carotid Body	NA	carotid body	NA	SRP505029	SRS21281106	0.981	0.744	21.000	0.908	0.736	0.982	1145.0	48757	12587.02	2731
SRX24535507	Carotid Body	NA	carotid body	NA	SRP505029	SRS21281107	0.981	0.736	26.336	0.904	0.771	0.986	1090.34	54720	13127.08	3029
SRX24535508	Carotid Body	NA	carotid body	NA	SRP505029	SRS21281108	0.979	0.747	21.933	0.903	0.676	0.983	1147.17	50393	13518.95	2703
SRX24535509	Carotid Body	NA	carotid body	NA	SRP505029	SRS21281109	0.979	0.732	22.538	0.907	0.811	0.985	1101.05	53388	13317.6	3144
SRX26303680	Caudal Sperm	NA	Caudal sperm	NA	SRP536955	SRS22832320	0.978	0.793	20.946	0.907	0.584	0.985	1792.56	89247	26836.09	4721
SRX26303681	Caudal Sperm	NA	Caudal sperm	NA	SRP536955	SRS22832321	0.977	0.785	21.087	0.907	0.572	0.985	1816.6	77587	22370.46	4284
SRX26303682	Caudal Sperm	NA	Caudal sperm	NA	SRP536955	SRS22832322	0.977	0.788	20.477	0.893	0.587	0.986	1786.72	85797	26239.46	4918
SRX26812487	Brain Prefrontal Cortex	NA	Brain, Prefrontal Cortex	NA	SRP546997	SRS23297124	0.973	0.689	28.552	0.872	0.678	0.983	1190.86	59499	12580.94	3520
SRX26812488	Brain Prefrontal Cortex	NA	Brain, Prefrontal Cortex	NA	SRP546997	SRS23297123	0.972	0.720	25.862	0.870	0.667	0.984	1187.78	52211	12749.38	3329
SRX2732258	Medial Prefrontal Cortex	NA	medial prefrontal cortex	Brain	SRP103785	SRS2120156	0.971	0.730	2.108	0.823	0.279	0.704	1644.86	28400	97255.78	252
SRX2732262	Medial Prefrontal Cortex	NA	medial prefrontal cortex	Brain	SRP103785	SRS2120160	0.970	0.736	2.172	0.825	0.254	0.720	1640.43	29260	85795.16	275
SRX2732265	Medial Prefrontal Cortex	NA	medial prefrontal cortex	Brain	SRP103785	SRS2120162	0.972	0.744	2.233	0.764	0.297	0.760	1766.04	27411	85372.13	304
SRX2732266	Medial Prefrontal Cortex	NA	medial prefrontal cortex	Brain	SRP103785	SRS2120165	0.970	0.737	2.153	0.830	0.258	0.727	1634.78	29721	95658.38	278
SRX2755518	Hippocampus	NA	hippocampus	hippocampus, iron-sufficient diet	SRP105091	SRS2140639	0.929	0.669	7.289	0.612	0.088	0.938	1412.26	49759	22318.96	1164
SRX2755519	Hippocampus	NA	hippocampus	hippocampus, iron-sufficient diet	SRP105091	SRS2140640	0.933	0.659	2.318	0.820	0.027	0.757	2028.75	29376	68166.22	300
SRX2755521	Hippocampus	NA	hippocampus	hippocampus, iron-deficient diet	SRP105091	SRS2140642	0.927	0.656	6.913	0.733	0.063	0.905	1476.42	44938	26869.56	842
SRX2755522	Hippocampus	NA	hippocampus	hippocampus, iron-deficient diet	SRP105091	SRS2140644	0.906	0.664	5.625	0.741	0.045	0.825	1571.0	38920	28132.02	546
SRX2851559	Hypothalamus	NA	hypothalamus	hypothalamus	SRP107963	SRS2223514	0.989	0.738	4.702	0.783	0.938	0.888	1328.08	31051	27014.7	619
SRX2851560	Hypothalamus	NA	hypothalamus	hypothalamus	SRP107963	SRS2223516	0.990	0.731	6.013	0.756	0.923	0.907	1295.66	31207	16471.79	994
SRX2851561	Hypothalamus	NA	hypothalamus	hypothalamus	SRP107963	SRS2223515	0.990	0.748	4.927	0.820	0.929	0.899	1296.28	32193	27197.84	813
SRX2851562	Hypothalamus	NA	hypothalamus	hypothalamus	SRP107963	SRS2223518	0.986	0.776	4.625	0.834	0.876	0.870	1420.92	28328	30522.83	648
SRX2851563	Hypothalamus	NA	hypothalamus	hypothalamus	SRP107963	SRS2223517	0.988	0.786	5.062	0.834	0.871	0.892	1312.4	32426	27342.17	848
SRX2851564	Hypothalamus	NA	hypothalamus	hypothalamus	SRP107963	SRS2223519	0.990	0.761	5.463	0.835	0.914	0.906	1299.53	31535	26413.71	737
SRX4576091	Sperm	NA	sperm	NA	SRP062855	SRS3690723	0.993	0.608	1.929	0.820	0.632	0.761	2288.54	44218	123536.12	415
SRX4724200	Sperm	NA	sperm	NA	SRP062855	SRS3690723	0.991	0.715	36.361	0.673	0.634	0.981	1341.19	84505	13955.31	4319
SRX4725051	Sperm	NA	sperm	NA	SRP062855	SRS3809592	0.989	0.736	36.329	0.833	0.779	0.975	1519.27	88399	26007.95	4446
SRX4725052	Sperm	NA	sperm	NA	SRP062855	SRS3809593	0.994	0.757	40.234	0.847	0.759	0.977	1544.9	82591	21732.67	4238
SRX4725059	Sperm	NA	sperm	NA	SRP062855	SRS3809594	0.993	0.761	30.130	0.845	0.809	0.975	1524.17	81771	20549.52	4447
SRX4725060	Sperm	NA	sperm	NA	SRP062855	SRS3809595	0.992	0.744	32.245	0.809	0.823	0.976	1567.42	85540	24778.05	4686
SRX6828451	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370627	0.979	0.729	1.817	0.868	0.678	0.708	1610.19	31423	86586.83	215
SRX6828454	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370630	0.965	0.726	2.099	0.862	0.460	0.714	1543.89	30829	92557.83	229
SRX6828455	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370631	0.981	0.708	2.083	0.866	0.576	0.741	1555.86	28551	63075.8	357
SRX6828456	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370632	0.986	0.704	1.966	0.872	0.669	0.723	1646.12	29365	79396.58	223
