GCF_009858895.2_ASM985889v3	SARS-CoV-2 coronavirus
GCF_000850965.1_ViralMultiSegProj14847	La Crosse virus
GCF_014621545.1_ASM1462154v1	Monkeypox virus (MPXV-M5312_HM12_Rivers 2022)
GCF_000857045.1_ViralProj15142	Monkeypox virus (Zaire-96-I-16 2021)
